country,date,deaths,cumdeaths,cases,cumcases
England,2020-01-31,0,1,2,2
England,2020-02-01,0,1,0,2
England,2020-02-02,1,2,0,2
England,2020-02-03,0,2,0,2
England,2020-02-04,0,2,0,2
England,2020-02-05,0,2,0,2
England,2020-02-06,0,2,1,3
England,2020-02-07,0,2,0,3
England,2020-02-08,0,2,0,3
England,2020-02-09,0,2,1,4
England,2020-02-10,0,2,4,8
England,2020-02-11,0,2,0,8
England,2020-02-12,0,2,0,8
England,2020-02-13,0,2,1,9
England,2020-02-14,0,2,0,9
England,2020-02-15,0,2,0,9
England,2020-02-16,0,2,0,9
England,2020-02-17,0,2,0,9
England,2020-02-18,0,2,0,9
England,2020-02-19,0,2,0,9
England,2020-02-20,0,2,0,9
England,2020-02-21,0,2,0,9
England,2020-02-22,1,3,0,9
England,2020-02-23,0,3,0,9
England,2020-02-24,0,3,4,13
England,2020-02-25,0,3,0,13
England,2020-02-26,0,3,0,13
England,2020-02-27,0,3,0,13
England,2020-02-28,0,3,5,18
England,2020-02-29,0,3,3,21
England,2020-03-01,0,3,12,33
England,2020-03-02,1,4,4,37
England,2020-03-03,0,4,11,48
England,2020-03-04,1,5,32,80
England,2020-03-05,2,7,25,105
England,2020-03-06,2,9,39,144
England,2020-03-07,0,9,39,183
England,2020-03-08,2,11,58,241
England,2020-03-09,5,16,40,282
England,2020-03-10,3,19,46,324
England,2020-03-11,7,26,63,387
England,2020-03-12,11,37,99,486
England,2020-03-13,16,53,159,645
England,2020-03-14,19,72,201,846
England,2020-03-15,28,100,253,1099
England,2020-03-16,44,144,97,1196
England,2020-03-17,54,198,361,1557
England,2020-03-18,66,264,625,2182
England,2020-03-19,71,335,574,2756
England,2020-03-20,109,444,628,3384
England,2020-03-21,126,570,873,4257
England,2020-03-22,172,742,535,4792
England,2020-03-23,188,930,793,5585
England,2020-03-24,237,1167,1258,6843
England,2020-03-25,299,1466,1130,7973
England,2020-03-26,370,1836,1809,9782
England,2020-03-27,416,2252,2506,12288
England,2020-03-28,449,2701,2139,14427
England,2020-03-29,531,3232,2060,16487
England,2020-03-30,631,3863,2107,18594
England,2020-03-31,741,4604,2414,21008
England,2020-04-01,826,5430,3630,24638
England,2020-04-02,892,6322,3583,28221
England,2020-04-03,927,7249,3576,31797
England,2020-04-04,1023,8272,2910,34707
England,2020-04-05,1063,9335,5107,39814
England,2020-04-06,1025,10360,3176,42990
England,2020-04-07,1145,11505,2978,45968
England,2020-04-08,1286,12791,4788,50756
England,2020-04-09,1177,13968,3798,54554
England,2020-04-10,1163,15131,4263,58817
England,2020-04-11,1203,16334,3841,62658
England,2020-04-12,1208,17542,3672,66330
England,2020-04-13,1076,18618,2999,69329
England,2020-04-14,1080,19698,3854,73183
England,2020-04-15,1100,20798,3188,76371
England,2020-04-16,1147,21945,3118,79489
England,2020-04-17,1107,23052,3985,83474
England,2020-04-18,1030,24082,3548,87022
England,2020-04-19,967,25049,3607,90629
England,2020-04-20,992,26041,2401,93030
England,2020-04-21,916,26957,3087,96117
England,2020-04-22,939,27896,3020,99137
England,2020-04-23,893,28789,3084,102221
England,2020-04-24,874,29663,3004,105225
England,2020-04-25,771,30434,2826,108051
England,2020-04-26,763,31197,2152,110203
England,2020-04-27,724,31921,2264,112467
England,2020-04-28,701,32622,1989,114456
England,2020-04-29,699,33321,1403,115859
England,2020-04-30,660,33981,2484,118343
England,2020-05-01,661,34642,2501,121006
England,2020-05-02,590,35232,2228,123234
England,2020-05-03,556,35788,2019,125253
England,2020-05-04,562,36350,1485,126738
England,2020-05-05,537,36887,1842,128580
England,2020-05-06,524,37411,1611,130191
England,2020-05-07,535,37946,2133,132324
England,2020-05-08,482,38428,1694,134018
England,2020-05-09,463,38891,1349,135367
England,2020-05-10,423,39314,1007,136374
England,2020-05-11,355,39669,891,137265
England,2020-05-12,380,40049,1067,138332
England,2020-05-13,373,40422,1146,139478
England,2020-05-14,373,40795,1189,140667
England,2020-05-15,359,41154,1112,141779
England,2020-05-16,351,41505,1136,142915
England,2020-05-17,316,41821,788,143703
England,2020-05-18,344,42165,816,144519
England,2020-05-19,316,42481,857,145376
England,2020-05-20,303,42784,824,145808
England,2020-05-21,286,43070,854,146662
England,2020-05-22,256,43326,1083,147745
England,2020-05-23,255,43581,979,148724
England,2020-05-24,234,43815,584,149308
England,2020-05-25,240,44055,494,149802
England,2020-05-26,260,44315,492,150294
England,2020-05-27,233,44548,609,150903
England,2020-05-28,241,44789,519,151422
England,2020-05-29,216,45005,560,151982
England,2020-05-30,188,45193,715,151856
England,2020-05-31,175,45368,320,152176
England,2020-06-01,179,45547,294,152470
England,2020-06-02,204,45751,444,152914
England,2020-06-03,179,45930,462,153376
England,2020-06-04,163,46093,431,153807
England,2020-06-05,160,46253,451,154258
England,2020-06-06,129,46382,422,154680
England,2020-06-07,137,46519,228,154908
England,2020-06-08,142,46661,92,155000
England,2020-06-09,127,46788,651,155651
England,2020-06-10,142,46930,63,155714
England,2020-06-11,108,47038,304,156018
England,2020-06-12,122,47160,392,156410
England,2020-06-13,85,47245,372,156782
England,2020-06-14,119,47364,292,157074
England,2020-06-15,92,47456,219,157293
England,2020-06-16,103,47559,252,157545
England,2020-06-17,91,47650,252,157797
England,2020-06-18,79,47729,281,158078
England,2020-06-19,76,47805,323,158401
England,2020-06-20,76,47881,324,158725
England,2020-06-21,67,47948,215,158940
England,2020-06-22,74,48022,178,159118
England,2020-06-23,89,48111,210,159328
England,2020-06-24,93,48204,107,159435
England,2020-06-25,97,48301,261,159696
England,2020-06-26,70,48371,175,159958
England,2020-06-27,61,48432,192,160150
