"country","date","alpha_deaths","wildtype_deaths","alpha_cases","wildtype_cases"
"England","2020-10-05",0,54,0,10685
"England","2020-10-06",0,69,1,12647
"England","2020-10-07",0,88,2,11526
"England","2020-10-08",0,80,4,14948
"England","2020-10-09",0,82,4,10768
"England","2020-10-10",0,87,6,12622
"England","2020-10-11",0,106,6,10377
"England","2020-10-12",0,94,8,11639
"England","2020-10-13",0,94,17,14293
"England","2020-10-14",0,104,26,16106
"England","2020-10-15",0,124,34,16105
"England","2020-10-16",1,124,32,12144
"England","2020-10-17",1,167,41,13258
"England","2020-10-18",1,123,51,14653
"England","2020-10-19",1,154,65,16300
"England","2020-10-20",1,176,84,17730
"England","2020-10-21",2,194,124,22824
"England","2020-10-22",2,184,106,17248
"England","2020-10-23",2,181,118,16998
"England","2020-10-24",2,172,147,19185
"England","2020-10-25",3,204,137,16350
"England","2020-10-26",3,215,161,17722
"England","2020-10-27",4,222,234,19395
"England","2020-10-28",5,223,312,20933
"England","2020-10-29",7,246,347,19393
"England","2020-10-30",9,275,425,20396
"England","2020-10-31",10,267,440,18424
"England","2020-11-01",12,271,538,20064
"England","2020-11-02",13,266,460,15400
"England","2020-11-03",16,288,567,16763
"England","2020-11-04",16,267,796,21067
"England","2020-11-05",19,281,848,20289
"England","2020-11-06",23,316,890,19378
"England","2020-11-07",26,322,1041,20834
"England","2020-11-08",28,319,938,17355
"England","2020-11-09",34,370,1047,17989
"England","2020-11-10",31,298,1119,17503
"England","2020-11-11",32,285,1304,18666
"England","2020-11-12",39,318,2171,28672
"England","2020-11-13",41,311,1855,22685
"England","2020-11-14",45,322,1961,22337
"England","2020-11-15",49,326,1890,20108
"England","2020-11-16",50,312,1767,17656
"England","2020-11-17",59,319,1820,15729
"England","2020-11-18",77,367,2001,15188
"England","2020-11-19",78,329,2620,17671
"England","2020-11-20",85,322,2532,15313
"England","2020-11-21",93,320,2723,14892
"England","2020-11-22",102,318,2789,13879
"England","2020-11-23",112,317,2399,10930
"England","2020-11-24",121,302,1974,7880
"England","2020-11-25",136,300,3506,12387
"England","2020-11-26",128,252,3526,11111
"England","2020-11-27",140,247,3540,10017
"England","2020-11-28",150,239,3749,9574
"England","2020-11-29",173,250,3033,7021
"England","2020-11-30",166,219,3500,7369
"England","2020-12-01",166,193,4066,7552
"England","2020-12-02",172,176,5036,8287
"England","2020-12-03",214,196,4869,7123
"England","2020-12-04",231,189,5821,7591
"England","2020-12-05",200,145,5852,6814
"England","2020-12-06",220,143,7004,7290
"England","2020-12-07",240,139,6021,5602
"England","2020-12-08",258,140,5596,4863
"England","2020-12-09",253,128,7154,5806
"England","2020-12-10",276,131,10027,7595
"England","2020-12-11",294,130,10489,7410
"England","2020-12-12",291,120,10533,6935
"England","2020-12-13",296,114,10642,6522
"England","2020-12-14",311,111,11391,6491
"England","2020-12-15",305,103,10718,5786
"England","2020-12-16",293,93,15510,7922
"England","2020-12-17",356,107,15105,7296
"England","2020-12-18",372,106,16791,7661
"England","2020-12-19",360,97,15922,6853
"England","2020-12-20",363,92,22881,9274
"England","2020-12-21",409,97,20809,7933
"England","2020-12-22",439,100,23632,8656
"England","2020-12-23",425,94,25333,8914
"England","2020-12-24",415,88,26585,8976
"England","2020-12-25",464,94,23840,7720
"England","2020-12-26",497,96,23897,7410
"England","2020-12-27",516,96,19755,5864
"England","2020-12-28",522,93,28442,8069
"England","2020-12-29",524,90,37024,10140
"England","2020-12-30",562,93,34451,9103
"England","2020-12-31",605,96,39459,10051
"England","2021-01-01",597,92,40749,9997
"England","2021-01-02",633,93,39842,9406
"England","2021-01-03",599,85,38185,8668
"England","2021-01-04",695,95,43661,9519
"England","2021-01-05",758,98,45529,9411
"England","2021-01-06",786,96,46889,9171
"England","2021-01-07",822,95,39538,7303
"England","2021-01-08",832,90,52611,9146
"England","2021-01-09",884,90,46639,7618
"England","2021-01-10",939,90,43617,6674
"England","2021-01-11",985,88,36606,5229
"England","2021-01-12",1079,92,36162,4959
"England","2021-01-13",1070,88,37918,4980
"England","2021-01-14",1080,85,39403,4955
"England","2021-01-15",1080,81,45296,5445
"England","2021-01-16",1157,83,33874,3885
"England","2021-01-17",1151,78,31793,3470
"England","2021-01-18",1166,76,30925,3209
"England","2021-01-19",1249,77,27656,2715
"England","2021-01-20",1168,68,32084,2977
"England","2021-01-21",1141,62,31611,2760
"England","2021-01-22",1129,58,34305,2810
"England","2021-01-23",1094,52,28328,2168
"England","2021-01-24",1039,46,25743,1837
"England","2021-01-25",1104,46,18900,1249
"England","2021-01-26",1005,40,16857,1063
"England","2021-01-27",1068,40,21617,1297
"England","2021-01-28",1072,38,24771,1411
"England","2021-01-29",974,33,25344,1365
"England","2021-01-30",895,28,20068,1021
"England","2021-01-31",871,26,18183,871
"England","2021-02-01",867,24,16092,723
"England","2021-02-02",830,22,14411,610
"England","2021-02-03",850,21,16607,658
"England","2021-02-04",718,17,17868,661
"England","2021-02-05",753,16,16737,577
"England","2021-02-06",673,13,15798,504
"England","2021-02-07",652,12,14055,411
"England","2021-02-08",688,11,11951,319
"England","2021-02-09",618,10,10643,273
"England","2021-02-10",619,10,11274,277
"England","2021-02-11",581,9,11725,276
"England","2021-02-12",537,8,13006,293
"England","2021-02-13",505,7,11451,246
"England","2021-02-14",513,7,9309,190
"England","2021-02-15",542,7,8445,164
"England","2021-02-16",493,6,9067,169
"England","2021-02-17",432,5,10734,192
"England","2021-02-18",449,5,10558,182
"England","2021-02-19",386,4,10130,166
"England","2021-02-20",384,4,8826,138
"England","2021-02-21",352,3,8284,124
"England","2021-02-22",322,3,9288,132
"England","2021-02-23",332,3,7191,101
"England","2021-02-24",312,3,8526,118
"England","2021-02-25",304,3,8506,117
"England","2021-02-26",259,2,7294,99
"England","2021-02-27",261,2,6440,87
"England","2021-02-28",255,2,5013,67
"England","2021-03-01",251,2,4676,62
"England","2021-03-02",209,1,5469,61
"England","2021-03-03",187,1,5358,50
"England","2021-03-04",202,1,5601,42
"England","2021-03-05",202,1,5025,28
"England","2021-03-06",178,0,5099,19
"England","2021-03-07",175,0,4488,9
"England","2021-03-08",165,0,3903,0
"Northern Ireland","2020-10-05",0,2,0,616
"Northern Ireland","2020-10-06",0,1,0,669
"Northern Ireland","2020-10-07",0,2,0,828
"Northern Ireland","2020-10-08",0,0,0,923
"Northern Ireland","2020-10-09",0,0,1,1079
"Northern Ireland","2020-10-10",0,2,1,901
"Northern Ireland","2020-10-11",0,6,1,1065
"Northern Ireland","2020-10-12",0,6,1,876
"Northern Ireland","2020-10-13",0,5,1,862
"Northern Ireland","2020-10-14",0,4,3,1214
"Northern Ireland","2020-10-15",0,2,2,761
"Northern Ireland","2020-10-16",0,2,5,1294
"Northern Ireland","2020-10-17",0,4,5,1026
"Northern Ireland","2020-10-18",0,9,5,1007
"Northern Ireland","2020-10-19",0,8,5,815
"Northern Ireland","2020-10-20",0,5,7,906
"Northern Ireland","2020-10-21",0,7,10,1029
