"country","date","proportion"
"England","2020-10-05",0
"England","2020-10-06",0.01
"England","2020-10-07",0.02
"England","2020-10-08",0.03
"England","2020-10-09",0.04
"England","2020-10-10",0.05
"England","2020-10-11",0.06
"England","2020-10-12",0.07
"England","2020-10-13",0.12
"England","2020-10-14",0.16
"England","2020-10-15",0.21
"England","2020-10-16",0.26
"England","2020-10-17",0.31
"England","2020-10-18",0.35
"England","2020-10-19",0.4
"England","2020-10-20",0.47
"England","2020-10-21",0.54
"England","2020-10-22",0.61
"England","2020-10-23",0.69
"England","2020-10-24",0.76
"England","2020-10-25",0.83
"England","2020-10-26",0.9
"England","2020-10-27",1.19
"England","2020-10-28",1.47
"England","2020-10-29",1.76
"England","2020-10-30",2.04
"England","2020-10-31",2.33
"England","2020-11-01",2.61
"England","2020-11-02",2.9
"England","2020-11-03",3.27
"England","2020-11-04",3.64
"England","2020-11-05",4.01
"England","2020-11-06",4.39
"England","2020-11-07",4.76
"England","2020-11-08",5.13
"England","2020-11-09",5.5
"England","2020-11-10",6.01
"England","2020-11-11",6.53
"England","2020-11-12",7.04
"England","2020-11-13",7.56
"England","2020-11-14",8.07
"England","2020-11-15",8.59
"England","2020-11-16",9.1
"England","2020-11-17",10.37
"England","2020-11-18",11.64
"England","2020-11-19",12.91
"England","2020-11-20",14.19
"England","2020-11-21",15.46
"England","2020-11-22",16.73
"England","2020-11-23",18
"England","2020-11-24",20.03
"England","2020-11-25",22.06
"England","2020-11-26",24.09
"England","2020-11-27",26.11
"England","2020-11-28",28.14
"England","2020-11-29",30.17
"England","2020-11-30",32.2
"England","2020-12-01",35
"England","2020-12-02",37.8
"England","2020-12-03",40.6
"England","2020-12-04",43.4
"England","2020-12-05",46.2
"England","2020-12-06",49
"England","2020-12-07",51.8
"England","2020-12-08",53.5
"England","2020-12-09",55.2
"England","2020-12-10",56.9
"England","2020-12-11",58.6
"England","2020-12-12",60.3
"England","2020-12-13",62
"England","2020-12-14",63.7
"England","2020-12-15",64.94
"England","2020-12-16",66.19
"England","2020-12-17",67.43
"England","2020-12-18",68.67
"England","2020-12-19",69.91
"England","2020-12-20",71.16
"England","2020-12-21",72.4
"England","2020-12-22",73.19
"England","2020-12-23",73.97
"England","2020-12-24",74.76
"England","2020-12-25",75.54
"England","2020-12-26",76.33
"England","2020-12-27",77.11
"England","2020-12-28",77.9
"England","2020-12-29",78.5
"England","2020-12-30",79.1
"England","2020-12-31",79.7
"England","2021-01-01",80.3
"England","2021-01-02",80.9
