Country,transportation_type,date,mobility,Country_code
Albania,driving,2020-01-13,100,AL
Albania,walking,2020-01-13,100,AL
Albania,driving,2020-01-14,95.3,AL
Albania,walking,2020-01-14,100.68,AL
Albania,driving,2020-01-15,101.43,AL
Albania,walking,2020-01-15,98.93,AL
Albania,driving,2020-01-16,97.2,AL
Albania,walking,2020-01-16,98.46,AL
Albania,driving,2020-01-17,103.55,AL
Albania,walking,2020-01-17,100.85,AL
Albania,driving,2020-01-18,112.67,AL
Albania,walking,2020-01-18,100.13,AL
Albania,driving,2020-01-19,104.83,AL
Albania,walking,2020-01-19,82.13,AL
Albania,driving,2020-01-20,94.39,AL
Albania,walking,2020-01-20,95.65,AL
Albania,driving,2020-01-21,94.07,AL
Albania,walking,2020-01-21,97.78,AL
Albania,driving,2020-01-22,93.51,AL
Albania,walking,2020-01-22,95.39,AL
Albania,driving,2020-01-23,92.94,AL
Albania,walking,2020-01-23,94.24,AL
Albania,driving,2020-01-24,102.13,AL
Albania,walking,2020-01-24,93.73,AL
Albania,driving,2020-01-25,102.38,AL
Albania,walking,2020-01-25,97.06,AL
Albania,driving,2020-01-26,101.41,AL
Albania,walking,2020-01-26,77.27,AL
Albania,driving,2020-01-27,94.62,AL
Albania,walking,2020-01-27,83.37,AL
Albania,driving,2020-01-28,89.12,AL
Albania,walking,2020-01-28,82.73,AL
Albania,driving,2020-01-29,90.17,AL
Albania,walking,2020-01-29,84.39,AL
Albania,driving,2020-01-30,90.21,AL
Albania,walking,2020-01-30,88.19,AL
Albania,driving,2020-01-31,97.71,AL
Albania,walking,2020-01-31,90.79,AL
Albania,driving,2020-02-01,102.5,AL
Albania,walking,2020-02-01,88.7,AL
Albania,driving,2020-02-02,108.92,AL
Albania,walking,2020-02-02,79.32,AL
Albania,driving,2020-02-03,92.82,AL
Albania,walking,2020-02-03,87.12,AL
Albania,driving,2020-02-04,91.48,AL
Albania,walking,2020-02-04,88.06,AL
Albania,driving,2020-02-05,93.99,AL
Albania,walking,2020-02-05,99.4,AL
Albania,driving,2020-02-06,96.72,AL
Albania,walking,2020-02-06,85.84,AL
Albania,driving,2020-02-07,102.46,AL
Albania,walking,2020-02-07,94.63,AL
Albania,driving,2020-02-08,103.29,AL
Albania,walking,2020-02-08,99.74,AL
Albania,driving,2020-02-09,107.83,AL
Albania,walking,2020-02-09,81.41,AL
Albania,driving,2020-02-10,87.99,AL
Albania,walking,2020-02-10,90.19,AL
Albania,driving,2020-02-11,94.18,AL
Albania,walking,2020-02-11,90.45,AL
Albania,driving,2020-02-12,94.62,AL
Albania,walking,2020-02-12,94.16,AL
Albania,driving,2020-02-13,99.7,AL
Albania,walking,2020-02-13,95.69,AL
Albania,driving,2020-02-14,139.3,AL
Albania,walking,2020-02-14,109.21,AL
Albania,driving,2020-02-15,123.9,AL
Albania,walking,2020-02-15,108.4,AL
Albania,driving,2020-02-16,129.41,AL
Albania,walking,2020-02-16,84.52,AL
Albania,driving,2020-02-17,102.24,AL
Albania,walking,2020-02-17,96.63,AL
Albania,driving,2020-02-18,88.09,AL
Albania,walking,2020-02-18,87.38,AL
Albania,driving,2020-02-19,88.17,AL
Albania,walking,2020-02-19,81.49,AL
Albania,driving,2020-02-20,94.48,AL
Albania,walking,2020-02-20,87.21,AL
Albania,driving,2020-02-21,100.62,AL
Albania,walking,2020-02-21,93.52,AL
Albania,driving,2020-02-22,111.02,AL
