country,transportation_type,date,mobility
England,driving,2020-01-13,100
England,walking,2020-01-13,100
England,transit,2020-01-13,100
NorthernIreland,driving,2020-01-13,100
NorthernIreland,walking,2020-01-13,100
NorthernIreland,transit,2020-01-13,100
Scotland,driving,2020-01-13,100
Scotland,walking,2020-01-13,100
Scotland,transit,2020-01-13,100
Wales,driving,2020-01-13,100
Wales,walking,2020-01-13,100
Wales,transit,2020-01-13,100
England,driving,2020-01-14,104.84
England,walking,2020-01-14,106.22
England,transit,2020-01-14,104.39
NorthernIreland,driving,2020-01-14,104.58
NorthernIreland,walking,2020-01-14,114.05
NorthernIreland,transit,2020-01-14,92.4
Scotland,driving,2020-01-14,105.97
Scotland,walking,2020-01-14,104.7
Scotland,transit,2020-01-14,104.41
Wales,driving,2020-01-14,103.34
Wales,walking,2020-01-14,105.02
Wales,transit,2020-01-14,92.78
England,driving,2020-01-15,106.82
England,walking,2020-01-15,114.82
England,transit,2020-01-15,105.58
NorthernIreland,driving,2020-01-15,107.97
NorthernIreland,walking,2020-01-15,119.53
NorthernIreland,transit,2020-01-15,96.92
Scotland,driving,2020-01-15,102.71
Scotland,walking,2020-01-15,108.15
Scotland,transit,2020-01-15,105.37
Wales,driving,2020-01-15,101.63
Wales,walking,2020-01-15,114.26
Wales,transit,2020-01-15,90.83
England,driving,2020-01-16,104.11
England,walking,2020-01-16,112.77
England,transit,2020-01-16,103.92
NorthernIreland,driving,2020-01-16,113.89
NorthernIreland,walking,2020-01-16,124.85
NorthernIreland,transit,2020-01-16,101.73
Scotland,driving,2020-01-16,105.92
Scotland,walking,2020-01-16,111.61
Scotland,transit,2020-01-16,105.78
Wales,driving,2020-01-16,102.28
Wales,walking,2020-01-16,103.12
Wales,transit,2020-01-16,94.77
England,driving,2020-01-17,108.78
England,walking,2020-01-17,128.5
England,transit,2020-01-17,109.93
NorthernIreland,driving,2020-01-17,119.21
NorthernIreland,walking,2020-01-17,140.22
NorthernIreland,transit,2020-01-17,101.77
Scotland,driving,2020-01-17,114.13
Scotland,walking,2020-01-17,134.68
Scotland,transit,2020-01-17,103.52
Wales,driving,2020-01-17,108.58
Wales,walking,2020-01-17,123.4
Wales,transit,2020-01-17,89.65
England,driving,2020-01-18,107.83
England,walking,2020-01-18,157.59
England,transit,2020-01-18,115.94
NorthernIreland,driving,2020-01-18,116.76
NorthernIreland,walking,2020-01-18,164.3
NorthernIreland,transit,2020-01-18,94.04
Scotland,driving,2020-01-18,113.14
Scotland,walking,2020-01-18,160.52
Scotland,transit,2020-01-18,106.26
Wales,driving,2020-01-18,104.98
Wales,walking,2020-01-18,145.86
Wales,transit,2020-01-18,80.85
England,driving,2020-01-19,94.35
England,walking,2020-01-19,102.37
England,transit,2020-01-19,99.89
NorthernIreland,driving,2020-01-19,85.87
NorthernIreland,walking,2020-01-19,89.07
NorthernIreland,transit,2020-01-19,91.87
Scotland,driving,2020-01-19,93.45
Scotland,walking,2020-01-19,98.27
Scotland,transit,2020-01-19,96.26
Wales,driving,2020-01-19,94.53
Wales,walking,2020-01-19,95.81
Wales,transit,2020-01-19,80.92
England,driving,2020-01-20,103.26
England,walking,2020-01-20,109.16
England,transit,2020-01-20,103.76
NorthernIreland,driving,2020-01-20,105.53
NorthernIreland,walking,2020-01-20,117.8
NorthernIreland,transit,2020-01-20,95.44
Scotland,driving,2020-01-20,103.17
Scotland,walking,2020-01-20,110.82
Scotland,transit,2020-01-20,108.69
Wales,driving,2020-01-20,101.07
Wales,walking,2020-01-20,110.48
Wales,transit,2020-01-20,96.64
England,driving,2020-01-21,108.05
England,walking,2020-01-21,118.63
England,transit,2020-01-21,108.11
NorthernIreland,driving,2020-01-21,107.64
NorthernIreland,walking,2020-01-21,122.21
NorthernIreland,transit,2020-01-21,94.33
Scotland,driving,2020-01-21,107.88
Scotland,walking,2020-01-21,117.15
Scotland,transit,2020-01-21,110.89
Wales,driving,2020-01-21,103.35
Wales,walking,2020-01-21,113.17
Wales,transit,2020-01-21,93.19
England,driving,2020-01-22,108.79
England,walking,2020-01-22,122.74
England,transit,2020-01-22,111.03
NorthernIreland,driving,2020-01-22,110.63
NorthernIreland,walking,2020-01-22,126.16
NorthernIreland,transit,2020-01-22,97.49
Scotland,driving,2020-01-22,109.72
Scotland,walking,2020-01-22,123.33
Scotland,transit,2020-01-22,111.76
Wales,driving,2020-01-22,106.86
Wales,walking,2020-01-22,127.13
Wales,transit,2020-01-22,101.32
England,driving,2020-01-23,106.55
England,walking,2020-01-23,122.37
England,transit,2020-01-23,108.71
NorthernIreland,driving,2020-01-23,108.75
NorthernIreland,walking,2020-01-23,119.29
NorthernIreland,transit,2020-01-23,94.82
Scotland,driving,2020-01-23,105.87
Scotland,walking,2020-01-23,120.17
Scotland,transit,2020-01-23,106.41
Wales,driving,2020-01-23,102.76
Wales,walking,2020-01-23,115.47
Wales,transit,2020-01-23,94.45
England,driving,2020-01-24,113.17
England,walking,2020-01-24,138.86
England,transit,2020-01-24,115.98
NorthernIreland,driving,2020-01-24,121.26
NorthernIreland,walking,2020-01-24,143.23
NorthernIreland,transit,2020-01-24,101.81
Scotland,driving,2020-01-24,117.75
Scotland,walking,2020-01-24,144.14
Scotland,transit,2020-01-24,111.66
Wales,driving,2020-01-24,111.85
Wales,walking,2020-01-24,142.11
Wales,transit,2020-01-24,94.94
England,driving,2020-01-25,110.69
England,walking,2020-01-25,165.6
England,transit,2020-01-25,119.5
NorthernIreland,driving,2020-01-25,120.23
NorthernIreland,walking,2020-01-25,160.02
NorthernIreland,transit,2020-01-25,97.37
Scotland,driving,2020-01-25,114.87
Scotland,walking,2020-01-25,165.29
Scotland,transit,2020-01-25,108.99
Wales,driving,2020-01-25,109.32
Wales,walking,2020-01-25,157.11
Wales,transit,2020-01-25,93.16
England,driving,2020-01-26,95.4
England,walking,2020-01-26,97.61
England,transit,2020-01-26,101.17
NorthernIreland,driving,2020-01-26,88.32
NorthernIreland,walking,2020-01-26,90.18
NorthernIreland,transit,2020-01-26,83.2
Scotland,driving,2020-01-26,95.68
Scotland,walking,2020-01-26,101.71
Scotland,transit,2020-01-26,101.14
Wales,driving,2020-01-26,92.89
Wales,walking,2020-01-26,93.12
Wales,transit,2020-01-26,87.31
England,driving,2020-01-27,101.75
England,walking,2020-01-27,104.37
England,transit,2020-01-27,103.89
NorthernIreland,driving,2020-01-27,102.47
NorthernIreland,walking,2020-01-27,111.59
NorthernIreland,transit,2020-01-27,93.67
Scotland,driving,2020-01-27,103.55
Scotland,walking,2020-01-27,107.71
Scotland,transit,2020-01-27,106.1
Wales,driving,2020-01-27,99.46
Wales,walking,2020-01-27,108.08
Wales,transit,2020-01-27,92.36
England,driving,2020-01-28,105.72
England,walking,2020-01-28,113.71
