areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,England,E92000001,2022-06-07,10240,18802365
nation,England,E92000001,2022-06-06,29155,18792128
nation,England,E92000001,2022-06-05,0,18762989
nation,England,E92000001,2022-06-04,0,18762989
nation,England,E92000001,2022-06-03,0,18762989
nation,England,E92000001,2022-06-02,0,18762989
nation,England,E92000001,2022-06-01,5313,18762989
nation,England,E92000001,2022-05-31,5802,18757683
nation,England,E92000001,2022-05-30,13590,18751882
nation,England,E92000001,2022-05-29,0,18738306
nation,England,E92000001,2022-05-28,0,18738306
nation,England,E92000001,2022-05-27,4661,18738306
nation,England,E92000001,2022-05-26,5293,18733650
nation,England,E92000001,2022-05-25,5810,18728368
nation,England,E92000001,2022-05-24,6352,18722566
nation,England,E92000001,2022-05-23,14592,18716214
nation,England,E92000001,2022-05-22,0,18701642
nation,England,E92000001,2022-05-21,0,18701642
nation,England,E92000001,2022-05-20,6003,18701642
nation,England,E92000001,2022-05-19,6704,18695641
nation,England,E92000001,2022-05-18,7388,18688946
nation,England,E92000001,2022-05-17,8102,18681566
nation,England,E92000001,2022-05-16,16903,18673471
nation,England,E92000001,2022-05-15,0,18656568
nation,England,E92000001,2022-05-14,0,18656568
nation,England,E92000001,2022-05-13,6511,18656568
nation,England,E92000001,2022-05-12,10874,18650062
nation,England,E92000001,2022-05-11,8036,18639196
nation,England,E92000001,2022-05-10,9751,18631175
nation,England,E92000001,2022-05-09,21712,18621424
nation,England,E92000001,2022-05-08,0,18599739
nation,England,E92000001,2022-05-07,0,18599739
nation,England,E92000001,2022-05-06,9405,18599739
nation,England,E92000001,2022-05-05,10311,18590347
nation,England,E92000001,2022-05-04,14596,18580049
nation,England,E92000001,2022-05-03,29029,18565456
nation,England,E92000001,2022-05-02,0,18536477
nation,England,E92000001,2022-05-01,0,18536477
nation,England,E92000001,2022-04-30,0,18536477
nation,England,E92000001,2022-04-29,9705,18536477
nation,England,E92000001,2022-04-28,10945,18526781
nation,England,E92000001,2022-04-27,13481,18515847
nation,England,E92000001,2022-04-26,13045,18502386
nation,England,E92000001,2022-04-25,35925,18489342
nation,England,E92000001,2022-04-24,0,18453469
nation,England,E92000001,2022-04-23,0,18453469
nation,England,E92000001,2022-04-22,15832,18453469
nation,England,E92000001,2022-04-21,18475,18437668
nation,England,E92000001,2022-04-20,20767,18419203
nation,England,E92000001,2022-04-19,93281,18398440
nation,England,E92000001,2022-04-18,0,18305250
nation,England,E92000001,2022-04-17,0,18305250
nation,England,E92000001,2022-04-16,0,18305250
nation,England,E92000001,2022-04-15,0,18305250
nation,England,E92000001,2022-04-14,27283,18305250
nation,England,E92000001,2022-04-13,29335,18277995
nation,England,E92000001,2022-04-12,31230,18248680
nation,England,E92000001,2022-04-11,75194,18217512
nation,England,E92000001,2022-04-10,0,18142371
nation,England,E92000001,2022-04-09,0,18142371
nation,England,E92000001,2022-04-08,33782,18142371
nation,England,E92000001,2022-04-07,38678,18108626
nation,England,E92000001,2022-04-06,42392,18070000
nation,England,E92000001,2022-04-05,41436,18027644
nation,England,E92000001,2022-04-04,122027,17986241
nation,England,E92000001,2022-04-03,0,17864687
nation,England,E92000001,2022-04-02,0,17864687
nation,England,E92000001,2022-04-01,60220,17864687
nation,England,E92000001,2022-03-31,62816,17804704
nation,England,E92000001,2022-03-30,74419,17742075
nation,England,E92000001,2022-03-29,64935,17667861
nation,England,E92000001,2022-03-28,183459,17603000
nation,England,E92000001,2022-03-27,0,17419944
nation,England,E92000001,2022-03-26,0,17419944
nation,England,E92000001,2022-03-25,63371,17419944
nation,England,E92000001,2022-03-24,79373,17356644
nation,England,E92000001,2022-03-23,85916,17277446
nation,England,E92000001,2022-03-22,74804,17191749
nation,England,E92000001,2022-03-21,188925,17117061
nation,England,E92000001,2022-03-20,0,16928787
nation,England,E92000001,2022-03-19,0,16928787
nation,England,E92000001,2022-03-18,68492,16928787
nation,England,E92000001,2022-03-17,75681,16860551
nation,England,E92000001,2022-03-16,76366,16785149
nation,England,E92000001,2022-03-15,64313,16709007
nation,England,E92000001,2022-03-14,163954,16644795
nation,England,E92000001,2022-03-13,0,16481364
nation,England,E92000001,2022-03-12,0,16481364
nation,England,E92000001,2022-03-11,55883,16481364
