areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Northern Ireland,N92000002,2022-05-20,262,713294
nation,Northern Ireland,N92000002,2022-05-19,263,713032
nation,Northern Ireland,N92000002,2022-05-18,332,712769
nation,Northern Ireland,N92000002,2022-05-17,363,712437
nation,Northern Ireland,N92000002,2022-05-16,252,712074
nation,Northern Ireland,N92000002,2022-05-15,173,711822
nation,Northern Ireland,N92000002,2022-05-14,1082,711649
nation,Northern Ireland,N92000002,2022-05-13,0,710567
nation,Northern Ireland,N92000002,2022-05-12,0,710567
nation,Northern Ireland,N92000002,2022-05-11,0,710567
nation,Northern Ireland,N92000002,2022-05-10,394,710567
nation,Northern Ireland,N92000002,2022-05-09,796,710173
nation,Northern Ireland,N92000002,2022-05-08,0,709377
nation,Northern Ireland,N92000002,2022-05-07,0,709377
nation,Northern Ireland,N92000002,2022-05-06,316,709377
nation,Northern Ireland,N92000002,2022-05-05,362,709061
nation,Northern Ireland,N92000002,2022-05-04,378,708699
nation,Northern Ireland,N92000002,2022-05-03,1002,708321
nation,Northern Ireland,N92000002,2022-05-02,0,707319
nation,Northern Ireland,N92000002,2022-05-01,0,707319
nation,Northern Ireland,N92000002,2022-04-30,0,707319
nation,Northern Ireland,N92000002,2022-04-29,329,707319
nation,Northern Ireland,N92000002,2022-04-28,355,706990
nation,Northern Ireland,N92000002,2022-04-27,365,706635
nation,Northern Ireland,N92000002,2022-04-26,480,706270
nation,Northern Ireland,N92000002,2022-04-25,1279,705790
nation,Northern Ireland,N92000002,2022-04-24,0,704511
nation,Northern Ireland,N92000002,2022-04-23,0,704511
nation,Northern Ireland,N92000002,2022-04-22,707,704511
nation,Northern Ireland,N92000002,2022-04-21,752,703804
nation,Northern Ireland,N92000002,2022-04-20,588,703052
nation,Northern Ireland,N92000002,2022-04-19,2695,702464
nation,Northern Ireland,N92000002,2022-04-18,0,699769
nation,Northern Ireland,N92000002,2022-04-17,0,699769
nation,Northern Ireland,N92000002,2022-04-16,0,699769
nation,Northern Ireland,N92000002,2022-04-15,0,699769
nation,Northern Ireland,N92000002,2022-04-14,791,699769
nation,Northern Ireland,N92000002,2022-04-13,770,698978
nation,Northern Ireland,N92000002,2022-04-12,927,698208
nation,Northern Ireland,N92000002,2022-04-11,1873,697281
nation,Northern Ireland,N92000002,2022-04-10,0,695408
nation,Northern Ireland,N92000002,2022-04-09,0,695408
nation,Northern Ireland,N92000002,2022-04-08,983,695408
nation,Northern Ireland,N92000002,2022-04-07,1133,694425
nation,Northern Ireland,N92000002,2022-04-06,1155,693292
nation,Northern Ireland,N92000002,2022-04-05,1387,692137
nation,Northern Ireland,N92000002,2022-04-04,2688,690750
nation,Northern Ireland,N92000002,2022-04-03,0,688062
nation,Northern Ireland,N92000002,2022-04-02,0,688062
nation,Northern Ireland,N92000002,2022-04-01,1218,688062
nation,Northern Ireland,N92000002,2022-03-31,1461,686844
nation,Northern Ireland,N92000002,2022-03-30,1414,685383
nation,Northern Ireland,N92000002,2022-03-29,1731,683969
nation,Northern Ireland,N92000002,2022-03-28,3841,682238
nation,Northern Ireland,N92000002,2022-03-27,0,678397
nation,Northern Ireland,N92000002,2022-03-26,0,678397
nation,Northern Ireland,N92000002,2022-03-25,1910,678397
nation,Northern Ireland,N92000002,2022-03-24,2524,676487
nation,Northern Ireland,N92000002,2022-03-23,2269,673963
nation,Northern Ireland,N92000002,2022-03-22,2899,671694
nation,Northern Ireland,N92000002,2022-03-21,5355,668795
nation,Northern Ireland,N92000002,2022-03-20,0,663440
nation,Northern Ireland,N92000002,2022-03-19,0,663440
nation,Northern Ireland,N92000002,2022-03-18,1798,663440
nation,Northern Ireland,N92000002,2022-03-17,2054,661642
nation,Northern Ireland,N92000002,2022-03-16,2391,659588
nation,Northern Ireland,N92000002,2022-03-15,2605,657197
nation,Northern Ireland,N92000002,2022-03-14,5523,654592
nation,Northern Ireland,N92000002,2022-03-13,0,649064
nation,Northern Ireland,N92000002,2022-03-12,0,649064
nation,Northern Ireland,N92000002,2022-03-11,2270,649064
nation,Northern Ireland,N92000002,2022-03-10,2602,646794
nation,Northern Ireland,N92000002,2022-03-09,2683,644192
nation,Northern Ireland,N92000002,2022-03-08,2669,641509
nation,Northern Ireland,N92000002,2022-03-07,5769,638840
nation,Northern Ireland,N92000002,2022-03-06,0,633071
nation,Northern Ireland,N92000002,2022-03-05,0,633071
nation,Northern Ireland,N92000002,2022-03-04,2236,633071
nation,Northern Ireland,N92000002,2022-03-03,2408,630835
nation,Northern Ireland,N92000002,2022-03-02,2407,628427
nation,Northern Ireland,N92000002,2022-03-01,2567,626020
nation,Northern Ireland,N92000002,2022-02-28,5168,623453
nation,Northern Ireland,N92000002,2022-02-27,0,618285
nation,Northern Ireland,N92000002,2022-02-26,0,618285
nation,Northern Ireland,N92000002,2022-02-25,2068,618285
nation,Northern Ireland,N92000002,2022-02-24,2486,616217
nation,Northern Ireland,N92000002,2022-02-23,2294,613731
nation,Northern Ireland,N92000002,2022-02-22,2951,611437
nation,Northern Ireland,N92000002,2022-02-21,2235,608485
nation,Northern Ireland,N92000002,2022-02-20,1865,606250
nation,Northern Ireland,N92000002,2022-02-19,2147,604385
nation,Northern Ireland,N92000002,2022-02-18,2469,602238
nation,Northern Ireland,N92000002,2022-02-17,3027,599769
nation,Northern Ireland,N92000002,2022-02-16,2889,596742
nation,Northern Ireland,N92000002,2022-02-15,2987,593853
nation,Northern Ireland,N92000002,2022-02-14,2465,590866
nation,Northern Ireland,N92000002,2022-02-13,2158,588401
nation,Northern Ireland,N92000002,2022-02-12,2633,586243
nation,Northern Ireland,N92000002,2022-02-11,2923,583610
nation,Northern Ireland,N92000002,2022-02-10,3609,580687
nation,Northern Ireland,N92000002,2022-02-09,3837,577078
nation,Northern Ireland,N92000002,2022-02-08,3959,573241
nation,Northern Ireland,N92000002,2022-02-07,3105,569282
nation,Northern Ireland,N92000002,2022-02-06,2694,566177
nation,Northern Ireland,N92000002,2022-02-05,3201,563483
nation,Northern Ireland,N92000002,2022-02-04,3833,560282
nation,Northern Ireland,N92000002,2022-02-03,4203,556449
nation,Northern Ireland,N92000002,2022-02-02,4769,552246
nation,Northern Ireland,N92000002,2022-02-01,4622,547477
nation,Northern Ireland,N92000002,2022-01-31,4159,542855
nation,Northern Ireland,N92000002,2022-01-30,3069,534119
nation,Northern Ireland,N92000002,2022-01-29,3590,531050
nation,Northern Ireland,N92000002,2022-01-28,3737,527460
nation,Northern Ireland,N92000002,2022-01-27,4243,523722
nation,Northern Ireland,N92000002,2022-01-26,4383,519479
nation,Northern Ireland,N92000002,2022-01-25,5023,515096
nation,Northern Ireland,N92000002,2022-01-24,3932,510073
nation,Northern Ireland,N92000002,2022-01-23,3059,506141
nation,Northern Ireland,N92000002,2022-01-22,3476,503082
nation,Northern Ireland,N92000002,2022-01-21,3568,499606
nation,Northern Ireland,N92000002,2022-01-20,3879,496038
nation,Northern Ireland,N92000002,2022-01-19,4451,492159
nation,Northern Ireland,N92000002,2022-01-18,4081,487708
nation,Northern Ireland,N92000002,2022-01-17,3295,483627
