areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Scotland,S92000003,2022-06-02,3653,1958838
nation,Scotland,S92000003,2022-06-01,0,1955185
nation,Scotland,S92000003,2022-05-31,0,1955185
nation,Scotland,S92000003,2022-05-30,3514,1955185
nation,Scotland,S92000003,2022-05-29,0,1951671
nation,Scotland,S92000003,2022-05-28,0,1951671
nation,Scotland,S92000003,2022-05-27,0,1951671
nation,Scotland,S92000003,2022-05-26,3024,1951671
nation,Scotland,S92000003,2022-05-25,0,1960940
nation,Scotland,S92000003,2022-05-24,0,1960940
nation,Scotland,S92000003,2022-05-23,11341,1960940
nation,Scotland,S92000003,2022-05-22,0,1949599
nation,Scotland,S92000003,2022-05-21,0,1949599
nation,Scotland,S92000003,2022-05-20,0,1949599
nation,Scotland,S92000003,2022-05-19,5170,1949599
nation,Scotland,S92000003,2022-05-18,0,1944429
nation,Scotland,S92000003,2022-05-17,0,1944429
nation,Scotland,S92000003,2022-05-16,5108,1944429
nation,Scotland,S92000003,2022-05-15,0,1939321
nation,Scotland,S92000003,2022-05-14,0,1939321
nation,Scotland,S92000003,2022-05-13,0,1939321
nation,Scotland,S92000003,2022-05-12,3589,1939321
nation,Scotland,S92000003,2022-05-11,0,1935488
nation,Scotland,S92000003,2022-05-10,0,1935488
nation,Scotland,S92000003,2022-05-09,3672,1935488
nation,Scotland,S92000003,2022-05-08,0,1931816
nation,Scotland,S92000003,2022-05-07,0,1931816
nation,Scotland,S92000003,2022-05-06,1226,1931816
nation,Scotland,S92000003,2022-05-05,1663,1930600
nation,Scotland,S92000003,2022-05-04,1311,1928951
nation,Scotland,S92000003,2022-05-03,5489,1927583
nation,Scotland,S92000003,2022-05-02,0,1922160
nation,Scotland,S92000003,2022-05-01,0,1922160
nation,Scotland,S92000003,2022-04-30,0,1922160
nation,Scotland,S92000003,2022-04-29,2254,1922160
nation,Scotland,S92000003,2022-04-28,2587,1919903
nation,Scotland,S92000003,2022-04-27,3194,1917330
nation,Scotland,S92000003,2022-04-26,2711,1914229
nation,Scotland,S92000003,2022-04-25,7714,1911485
nation,Scotland,S92000003,2022-04-24,0,1903803
nation,Scotland,S92000003,2022-04-23,0,1903803
nation,Scotland,S92000003,2022-04-22,3093,1903803
nation,Scotland,S92000003,2022-04-21,3974,1900751
nation,Scotland,S92000003,2022-04-20,3976,1896777
nation,Scotland,S92000003,2022-04-19,19979,1892851
nation,Scotland,S92000003,2022-04-18,0,1872702
nation,Scotland,S92000003,2022-04-17,0,1872702
nation,Scotland,S92000003,2022-04-16,0,1872702
nation,Scotland,S92000003,2022-04-15,0,1872702
nation,Scotland,S92000003,2022-04-14,4196,1872702
nation,Scotland,S92000003,2022-04-13,5513,1868563
nation,Scotland,S92000003,2022-04-12,4958,1863120
nation,Scotland,S92000003,2022-04-11,13761,1857540
nation,Scotland,S92000003,2022-04-10,0,1843856
nation,Scotland,S92000003,2022-04-09,0,1843856
nation,Scotland,S92000003,2022-04-08,6215,1843856
nation,Scotland,S92000003,2022-04-07,6778,1837704
nation,Scotland,S92000003,2022-04-06,7315,1831010
nation,Scotland,S92000003,2022-04-05,5545,1823661
nation,Scotland,S92000003,2022-04-04,17182,1817661
nation,Scotland,S92000003,2022-04-03,0,1800581
nation,Scotland,S92000003,2022-04-02,0,1800581
nation,Scotland,S92000003,2022-04-01,6935,1800581
nation,Scotland,S92000003,2022-03-31,9064,1793771
nation,Scotland,S92000003,2022-03-30,9610,1784824
nation,Scotland,S92000003,2022-03-29,9311,1775358
nation,Scotland,S92000003,2022-03-28,25495,1766147
nation,Scotland,S92000003,2022-03-27,0,1740857
nation,Scotland,S92000003,2022-03-26,0,1740857
nation,Scotland,S92000003,2022-03-25,10100,1740857
nation,Scotland,S92000003,2022-03-24,13564,1730889
nation,Scotland,S92000003,2022-03-23,12421,1717534
nation,Scotland,S92000003,2022-03-22,11912,1705109
nation,Scotland,S92000003,2022-03-21,29678,1693308
nation,Scotland,S92000003,2022-03-20,0,1663830
nation,Scotland,S92000003,2022-03-19,0,1663830
nation,Scotland,S92000003,2022-03-18,18124,1663830
nation,Scotland,S92000003,2022-03-17,9721,1643664
nation,Scotland,S92000003,2022-03-16,10710,1632909
nation,Scotland,S92000003,2022-03-15,38770,1622345
nation,Scotland,S92000003,2022-03-14,0,1574047
nation,Scotland,S92000003,2022-03-13,0,1574047
nation,Scotland,S92000003,2022-03-12,0,1574047
nation,Scotland,S92000003,2022-03-11,13220,1574047
nation,Scotland,S92000003,2022-03-10,14387,1561034
nation,Scotland,S92000003,2022-03-09,11957,1533640
nation,Scotland,S92000003,2022-03-08,11685,1521797
nation,Scotland,S92000003,2022-03-07,24488,1510238
nation,Scotland,S92000003,2022-03-06,0,1485872
nation,Scotland,S92000003,2022-03-05,0,1485872
nation,Scotland,S92000003,2022-03-04,9551,1485872
nation,Scotland,S92000003,2022-03-03,9491,1476428
nation,Scotland,S92000003,2022-03-02,8725,1467078
nation,Scotland,S92000003,2022-03-01,7497,1458444
nation,Scotland,S92000003,2022-02-28,16349,1390996
nation,Scotland,S92000003,2022-02-27,0,1374798
nation,Scotland,S92000003,2022-02-26,0,1374798
nation,Scotland,S92000003,2022-02-25,5484,1374798
nation,Scotland,S92000003,2022-02-24,7195,1369385
nation,Scotland,S92000003,2022-02-23,6756,1362296
nation,Scotland,S92000003,2022-02-22,6427,1355657
nation,Scotland,S92000003,2022-02-21,5307,1349320
nation,Scotland,S92000003,2022-02-20,5474,1344013
nation,Scotland,S92000003,2022-02-19,5316,1338539
nation,Scotland,S92000003,2022-02-18,7056,1333332
nation,Scotland,S92000003,2022-02-17,7144,1326382
nation,Scotland,S92000003,2022-02-16,7449,1319373
nation,Scotland,S92000003,2022-02-15,5805,1312019
nation,Scotland,S92000003,2022-02-14,5118,1306292
nation,Scotland,S92000003,2022-02-13,5301,1301234
nation,Scotland,S92000003,2022-02-12,5601,1295991
nation,Scotland,S92000003,2022-02-11,7341,1290487
nation,Scotland,S92000003,2022-02-10,7275,1283259
