areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Wales,W92000004,2022-06-06,,874686
nation,Wales,W92000004,2022-06-05,,
nation,Wales,W92000004,2022-06-04,,
nation,Wales,W92000004,2022-06-03,,
nation,Wales,W92000004,2022-06-02,261,874686
nation,Wales,W92000004,2022-06-01,0,874425
nation,Wales,W92000004,2022-05-31,0,874425
nation,Wales,W92000004,2022-05-30,0,874425
nation,Wales,W92000004,2022-05-29,0,874425
nation,Wales,W92000004,2022-05-28,0,874425
nation,Wales,W92000004,2022-05-27,0,874425
nation,Wales,W92000004,2022-05-26,52,874425
nation,Wales,W92000004,2022-05-25,51,874373
nation,Wales,W92000004,2022-05-24,90,874322
nation,Wales,W92000004,2022-05-23,54,874232
nation,Wales,W92000004,2022-05-22,0,874178
nation,Wales,W92000004,2022-05-21,0,874178
nation,Wales,W92000004,2022-05-20,73,874178
nation,Wales,W92000004,2022-05-19,71,874105
nation,Wales,W92000004,2022-05-18,71,874034
nation,Wales,W92000004,2022-05-17,138,873963
nation,Wales,W92000004,2022-05-16,74,873825
nation,Wales,W92000004,2022-05-15,0,873751
nation,Wales,W92000004,2022-05-14,0,873751
nation,Wales,W92000004,2022-05-13,81,873751
nation,Wales,W92000004,2022-05-12,101,873670
nation,Wales,W92000004,2022-05-11,99,873569
nation,Wales,W92000004,2022-05-10,268,873470
nation,Wales,W92000004,2022-05-09,100,873202
nation,Wales,W92000004,2022-05-08,0,873102
nation,Wales,W92000004,2022-05-07,0,873102
nation,Wales,W92000004,2022-05-06,129,873102
nation,Wales,W92000004,2022-05-05,151,872975
nation,Wales,W92000004,2022-05-04,326,872824
nation,Wales,W92000004,2022-05-03,115,872498
nation,Wales,W92000004,2022-05-02,0,872384
nation,Wales,W92000004,2022-05-01,0,872384
nation,Wales,W92000004,2022-04-30,0,872384
nation,Wales,W92000004,2022-04-29,133,872384
nation,Wales,W92000004,2022-04-28,143,872251
nation,Wales,W92000004,2022-04-27,184,872108
nation,Wales,W92000004,2022-04-26,343,871924
nation,Wales,W92000004,2022-04-25,159,871581
nation,Wales,W92000004,2022-04-24,0,871423
nation,Wales,W92000004,2022-04-23,0,871423
nation,Wales,W92000004,2022-04-22,163,871423
nation,Wales,W92000004,2022-04-21,255,871260
nation,Wales,W92000004,2022-04-20,816,871005
nation,Wales,W92000004,2022-04-19,272,870189
nation,Wales,W92000004,2022-04-18,0,869917
nation,Wales,W92000004,2022-04-17,0,869917
nation,Wales,W92000004,2022-04-16,0,869917
nation,Wales,W92000004,2022-04-15,0,869917
nation,Wales,W92000004,2022-04-14,338,869917
nation,Wales,W92000004,2022-04-13,308,869580
nation,Wales,W92000004,2022-04-12,704,869272
nation,Wales,W92000004,2022-04-11,373,868568
nation,Wales,W92000004,2022-04-10,0,868195
nation,Wales,W92000004,2022-04-09,0,868195
nation,Wales,W92000004,2022-04-08,404,868195
nation,Wales,W92000004,2022-04-07,537,867791
nation,Wales,W92000004,2022-04-06,391,867254
nation,Wales,W92000004,2022-04-05,1834,866863
nation,Wales,W92000004,2022-04-04,1485,865029
nation,Wales,W92000004,2022-04-03,0,863544
nation,Wales,W92000004,2022-04-02,0,863544
nation,Wales,W92000004,2022-04-01,1438,863544
nation,Wales,W92000004,2022-03-31,1379,862106
nation,Wales,W92000004,2022-03-30,1745,860727
nation,Wales,W92000004,2022-03-29,4853,858983
nation,Wales,W92000004,2022-03-28,2206,854130
nation,Wales,W92000004,2022-03-27,0,851925
nation,Wales,W92000004,2022-03-26,0,851925
nation,Wales,W92000004,2022-03-25,2128,851925
nation,Wales,W92000004,2022-03-24,2743,849797
nation,Wales,W92000004,2022-03-23,1877,847055
nation,Wales,W92000004,2022-03-22,4909,845179
nation,Wales,W92000004,2022-03-21,2566,840270
nation,Wales,W92000004,2022-03-20,0,837705
nation,Wales,W92000004,2022-03-19,0,837705
nation,Wales,W92000004,2022-03-18,1935,837705
nation,Wales,W92000004,2022-03-17,2261,835770
nation,Wales,W92000004,2022-03-16,1878,833509
nation,Wales,W92000004,2022-03-15,4114,831632
nation,Wales,W92000004,2022-03-14,1508,827518
nation,Wales,W92000004,2022-03-13,0,826010
nation,Wales,W92000004,2022-03-12,0,826010
nation,Wales,W92000004,2022-03-11,1525,826010
nation,Wales,W92000004,2022-03-10,1548,824485
nation,Wales,W92000004,2022-03-09,1141,822937
nation,Wales,W92000004,2022-03-08,2628,821797
nation,Wales,W92000004,2022-03-07,1023,819169
nation,Wales,W92000004,2022-03-06,0,818146
nation,Wales,W92000004,2022-03-05,0,818146
nation,Wales,W92000004,2022-03-04,1177,818146
nation,Wales,W92000004,2022-03-03,899,816969
nation,Wales,W92000004,2022-03-02,808,816071
nation,Wales,W92000004,2022-03-01,2225,815263
nation,Wales,W92000004,2022-02-28,339,813038
nation,Wales,W92000004,2022-02-27,0,812699
nation,Wales,W92000004,2022-02-26,0,812699
nation,Wales,W92000004,2022-02-25,855,812699
nation,Wales,W92000004,2022-02-24,1059,811844
nation,Wales,W92000004,2022-02-23,903,810785
nation,Wales,W92000004,2022-02-22,1672,809882
nation,Wales,W92000004,2022-02-21,1114,808210
nation,Wales,W92000004,2022-02-20,0,807096
nation,Wales,W92000004,2022-02-19,0,807096
nation,Wales,W92000004,2022-02-18,1260,807096
nation,Wales,W92000004,2022-02-17,1352,805836
nation,Wales,W92000004,2022-02-16,1124,804484
nation,Wales,W92000004,2022-02-15,923,803360
nation,Wales,W92000004,2022-02-14,2122,802438
nation,Wales,W92000004,2022-02-13,1495,800316
nation,Wales,W92000004,2022-02-12,0,798821
nation,Wales,W92000004,2022-02-11,1899,798821
nation,Wales,W92000004,2022-02-10,1761,796922
nation,Wales,W92000004,2022-02-09,1388,795161
nation,Wales,W92000004,2022-02-08,1107,793773
nation,Wales,W92000004,2022-02-07,3382,792667
nation,Wales,W92000004,2022-02-06,1868,789285
nation,Wales,W92000004,2022-02-05,0,787417
nation,Wales,W92000004,2022-02-04,2606,787417
nation,Wales,W92000004,2022-02-03,2424,784811
nation,Wales,W92000004,2022-02-02,1870,782388
nation,Wales,W92000004,2022-02-01,1635,780519
nation,Wales,W92000004,2022-01-31,4528,778884
nation,Wales,W92000004,2022-01-30,2840,774356
nation,Wales,W92000004,2022-01-29,0,771516
nation,Wales,W92000004,2022-01-28,2772,771516
nation,Wales,W92000004,2022-01-27,3007,768744
nation,Wales,W92000004,2022-01-26,2707,765737
nation,Wales,W92000004,2022-01-25,1977,763031
nation,Wales,W92000004,2022-01-24,4327,761054
nation,Wales,W92000004,2022-01-23,2827,756727
nation,Wales,W92000004,2022-01-22,0,753899
nation,Wales,W92000004,2022-01-21,2427,753899
nation,Wales,W92000004,2022-01-20,2768,751473
nation,Wales,W92000004,2022-01-19,2136,748708
nation,Wales,W92000004,2022-01-18,1857,746572
nation,Wales,W92000004,2022-01-17,3975,744717
nation,Wales,W92000004,2022-01-16,2133,740742
nation,Wales,W92000004,2022-01-15,0,738609
nation,Wales,W92000004,2022-01-14,2864,738609
nation,Wales,W92000004,2022-01-13,3197,735745
nation,Wales,W92000004,2022-01-12,2886,732548
nation,Wales,W92000004,2022-01-11,2176,729662
nation,Wales,W92000004,2022-01-10,11693,727486
nation,Wales,W92000004,2022-01-09,8923,715796
nation,Wales,W92000004,2022-01-08,0,706873
nation,Wales,W92000004,2022-01-07,7915,706873
nation,Wales,W92000004,2022-01-06,9213,698962
nation,Wales,W92000004,2022-01-05,21279,689750
nation,Wales,W92000004,2022-01-04,22317,668473
nation,Wales,W92000004,2022-01-03,0,646159
nation,Wales,W92000004,2022-01-02,14036,646159
nation,Wales,W92000004,2022-01-01,0,632125
nation,Wales,W92000004,2021-12-31,10393,632125
nation,Wales,W92000004,2021-12-30,21051,621732
nation,Wales,W92000004,2021-12-29,5929,600682
nation,Wales,W92000004,2021-12-28,12378,594753
nation,Wales,W92000004,2021-12-27,0,582378
nation,Wales,W92000004,2021-12-26,5335,582378
nation,Wales,W92000004,2021-12-25,0,577043
nation,Wales,W92000004,2021-12-24,6755,577043
nation,Wales,W92000004,2021-12-23,3292,570288
nation,Wales,W92000004,2021-12-22,4662,566995
nation,Wales,W92000004,2021-12-21,2375,562333
nation,Wales,W92000004,2021-12-20,6796,559959
