areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2022-05-20,22,168115
nation,England,E92000001,2022-05-19,17,168093
nation,England,E92000001,2022-05-18,29,168076
nation,England,E92000001,2022-05-17,32,168047
nation,England,E92000001,2022-05-16,43,168015
nation,England,E92000001,2022-05-15,49,167972
nation,England,E92000001,2022-05-14,40,167923
nation,England,E92000001,2022-05-13,53,167883
nation,England,E92000001,2022-05-12,45,167830
nation,England,E92000001,2022-05-11,51,167785
nation,England,E92000001,2022-05-10,70,167734
nation,England,E92000001,2022-05-09,62,167664
nation,England,E92000001,2022-05-08,70,167602
nation,England,E92000001,2022-05-07,71,167532
nation,England,E92000001,2022-05-06,79,167461
nation,England,E92000001,2022-05-05,64,167382
nation,England,E92000001,2022-05-04,75,167318
nation,England,E92000001,2022-05-03,77,167243
nation,England,E92000001,2022-05-02,85,167166
nation,England,E92000001,2022-05-01,92,167081
nation,England,E92000001,2022-04-30,87,166989
nation,England,E92000001,2022-04-29,76,166902
nation,England,E92000001,2022-04-28,103,166826
nation,England,E92000001,2022-04-27,109,166723
nation,England,E92000001,2022-04-26,90,166614
nation,England,E92000001,2022-04-25,104,166524
nation,England,E92000001,2022-04-24,103,166420
nation,England,E92000001,2022-04-23,116,166317
nation,England,E92000001,2022-04-22,116,166201
nation,England,E92000001,2022-04-21,128,166085
nation,England,E92000001,2022-04-20,130,165957
nation,England,E92000001,2022-04-19,125,165827
nation,England,E92000001,2022-04-18,138,165702
nation,England,E92000001,2022-04-17,129,165564
nation,England,E92000001,2022-04-16,135,165435
nation,England,E92000001,2022-04-15,139,165300
nation,England,E92000001,2022-04-14,154,165161
nation,England,E92000001,2022-04-13,178,165007
nation,England,E92000001,2022-04-12,153,164829
nation,England,E92000001,2022-04-11,149,164676
nation,England,E92000001,2022-04-10,153,164527
nation,England,E92000001,2022-04-09,141,164374
nation,England,E92000001,2022-04-08,184,164233
nation,England,E92000001,2022-04-07,180,164049
nation,England,E92000001,2022-04-06,159,163869
nation,England,E92000001,2022-04-05,156,163710
nation,England,E92000001,2022-04-04,137,163554
nation,England,E92000001,2022-04-03,143,163417
nation,England,E92000001,2022-04-02,160,163274
nation,England,E92000001,2022-04-01,159,163114
nation,England,E92000001,2022-03-31,143,162955
nation,England,E92000001,2022-03-30,145,162812
nation,England,E92000001,2022-03-29,148,162667
nation,England,E92000001,2022-03-28,133,162519
nation,England,E92000001,2022-03-27,123,162386
nation,England,E92000001,2022-03-26,126,162263
nation,England,E92000001,2022-03-25,132,162137
nation,England,E92000001,2022-03-24,112,162005
nation,England,E92000001,2022-03-23,119,161893
nation,England,E92000001,2022-03-22,117,161774
nation,England,E92000001,2022-03-21,115,161657
nation,England,E92000001,2022-03-20,121,161542
nation,England,E92000001,2022-03-19,119,161421
nation,England,E92000001,2022-03-18,119,161302
nation,England,E92000001,2022-03-17,105,161183
nation,England,E92000001,2022-03-16,102,161078
nation,England,E92000001,2022-03-15,97,160976
nation,England,E92000001,2022-03-14,111,160879
nation,England,E92000001,2022-03-13,78,160768
nation,England,E92000001,2022-03-12,95,160690
nation,England,E92000001,2022-03-11,95,160595
nation,England,E92000001,2022-03-10,90,160500
nation,England,E92000001,2022-03-09,85,160410
nation,England,E92000001,2022-03-08,98,160325
nation,England,E92000001,2022-03-07,90,160227
nation,England,E92000001,2022-03-06,60,160137
