areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Northern Ireland,N92000002,2022-05-20,1,4609
nation,Northern Ireland,N92000002,2022-05-19,1,4608
nation,Northern Ireland,N92000002,2022-05-18,0,4607
nation,Northern Ireland,N92000002,2022-05-17,2,4607
nation,Northern Ireland,N92000002,2022-05-16,1,4605
nation,Northern Ireland,N92000002,2022-05-15,2,4604
nation,Northern Ireland,N92000002,2022-05-14,3,4602
nation,Northern Ireland,N92000002,2022-05-13,1,4599
nation,Northern Ireland,N92000002,2022-05-12,2,4598
nation,Northern Ireland,N92000002,2022-05-11,2,4596
nation,Northern Ireland,N92000002,2022-05-10,3,4594
nation,Northern Ireland,N92000002,2022-05-09,2,4591
nation,Northern Ireland,N92000002,2022-05-08,1,4589
nation,Northern Ireland,N92000002,2022-05-07,3,4588
nation,Northern Ireland,N92000002,2022-05-06,0,4585
nation,Northern Ireland,N92000002,2022-05-05,1,4585
nation,Northern Ireland,N92000002,2022-05-04,0,4584
nation,Northern Ireland,N92000002,2022-05-03,0,4584
nation,Northern Ireland,N92000002,2022-05-02,1,4584
nation,Northern Ireland,N92000002,2022-05-01,0,4583
nation,Northern Ireland,N92000002,2022-04-30,1,4583
nation,Northern Ireland,N92000002,2022-04-29,4,4582
nation,Northern Ireland,N92000002,2022-04-28,2,4578
nation,Northern Ireland,N92000002,2022-04-27,3,4576
nation,Northern Ireland,N92000002,2022-04-26,4,4573
nation,Northern Ireland,N92000002,2022-04-25,0,4569
nation,Northern Ireland,N92000002,2022-04-24,6,4569
nation,Northern Ireland,N92000002,2022-04-23,0,4563
nation,Northern Ireland,N92000002,2022-04-22,5,4563
nation,Northern Ireland,N92000002,2022-04-21,5,4558
nation,Northern Ireland,N92000002,2022-04-20,5,4553
nation,Northern Ireland,N92000002,2022-04-19,1,4548
nation,Northern Ireland,N92000002,2022-04-18,4,4547
nation,Northern Ireland,N92000002,2022-04-17,7,4543
nation,Northern Ireland,N92000002,2022-04-16,3,4536
nation,Northern Ireland,N92000002,2022-04-15,4,4533
nation,Northern Ireland,N92000002,2022-04-14,2,4529
nation,Northern Ireland,N92000002,2022-04-13,3,4527
nation,Northern Ireland,N92000002,2022-04-12,3,4524
nation,Northern Ireland,N92000002,2022-04-11,2,4521
nation,Northern Ireland,N92000002,2022-04-10,4,4519
nation,Northern Ireland,N92000002,2022-04-09,6,4515
nation,Northern Ireland,N92000002,2022-04-08,4,4509
nation,Northern Ireland,N92000002,2022-04-07,6,4505
nation,Northern Ireland,N92000002,2022-04-06,4,4499
nation,Northern Ireland,N92000002,2022-04-05,3,4495
nation,Northern Ireland,N92000002,2022-04-04,5,4492
nation,Northern Ireland,N92000002,2022-04-03,5,4487
nation,Northern Ireland,N92000002,2022-04-02,2,4482
nation,Northern Ireland,N92000002,2022-04-01,7,4480
nation,Northern Ireland,N92000002,2022-03-31,9,4473
nation,Northern Ireland,N92000002,2022-03-30,1,4464
nation,Northern Ireland,N92000002,2022-03-29,4,4463
nation,Northern Ireland,N92000002,2022-03-28,5,4459
nation,Northern Ireland,N92000002,2022-03-27,6,4454
nation,Northern Ireland,N92000002,2022-03-26,3,4448
nation,Northern Ireland,N92000002,2022-03-25,8,4445
nation,Northern Ireland,N92000002,2022-03-24,1,4437
nation,Northern Ireland,N92000002,2022-03-23,4,4436
nation,Northern Ireland,N92000002,2022-03-22,7,4432
nation,Northern Ireland,N92000002,2022-03-21,3,4425
nation,Northern Ireland,N92000002,2022-03-20,5,4422
nation,Northern Ireland,N92000002,2022-03-19,5,4417
nation,Northern Ireland,N92000002,2022-03-18,10,4412
nation,Northern Ireland,N92000002,2022-03-17,1,4402
nation,Northern Ireland,N92000002,2022-03-16,6,4401
nation,Northern Ireland,N92000002,2022-03-15,3,4395
nation,Northern Ireland,N92000002,2022-03-14,5,4392
nation,Northern Ireland,N92000002,2022-03-13,1,4387
nation,Northern Ireland,N92000002,2022-03-12,2,4386
nation,Northern Ireland,N92000002,2022-03-11,6,4384
nation,Northern Ireland,N92000002,2022-03-10,3,4378
nation,Northern Ireland,N92000002,2022-03-09,1,4375
nation,Northern Ireland,N92000002,2022-03-08,2,4374
nation,Northern Ireland,N92000002,2022-03-07,6,4372
nation,Northern Ireland,N92000002,2022-03-06,3,4366
nation,Northern Ireland,N92000002,2022-03-05,4,4363
nation,Northern Ireland,N92000002,2022-03-04,5,4359
nation,Northern Ireland,N92000002,2022-03-03,1,4354
nation,Northern Ireland,N92000002,2022-03-02,7,4353
nation,Northern Ireland,N92000002,2022-03-01,5,4346
nation,Northern Ireland,N92000002,2022-02-28,4,4341
nation,Northern Ireland,N92000002,2022-02-27,5,4337
nation,Northern Ireland,N92000002,2022-02-26,2,4332
nation,Northern Ireland,N92000002,2022-02-25,8,4330
nation,Northern Ireland,N92000002,2022-02-24,5,4322
nation,Northern Ireland,N92000002,2022-02-23,3,4317
nation,Northern Ireland,N92000002,2022-02-22,6,4314
nation,Northern Ireland,N92000002,2022-02-21,4,4308
nation,Northern Ireland,N92000002,2022-02-20,8,4304
nation,Northern Ireland,N92000002,2022-02-19,7,4296
nation,Northern Ireland,N92000002,2022-02-18,6,4289
nation,Northern Ireland,N92000002,2022-02-17,3,4283
nation,Northern Ireland,N92000002,2022-02-16,6,4280
nation,Northern Ireland,N92000002,2022-02-15,3,4274
nation,Northern Ireland,N92000002,2022-02-14,3,4271
nation,Northern Ireland,N92000002,2022-02-13,2,4268
nation,Northern Ireland,N92000002,2022-02-12,4,4266
nation,Northern Ireland,N92000002,2022-02-11,6,4262
nation,Northern Ireland,N92000002,2022-02-10,4,4256
nation,Northern Ireland,N92000002,2022-02-09,7,4252
nation,Northern Ireland,N92000002,2022-02-08,6,4245
nation,Northern Ireland,N92000002,2022-02-07,5,4239
nation,Northern Ireland,N92000002,2022-02-06,6,4234
nation,Northern Ireland,N92000002,2022-02-05,2,4228
nation,Northern Ireland,N92000002,2022-02-04,3,4226
nation,Northern Ireland,N92000002,2022-02-03,6,4223
nation,Northern Ireland,N92000002,2022-02-02,4,4217
nation,Northern Ireland,N92000002,2022-02-01,8,4213
nation,Northern Ireland,N92000002,2022-01-31,2,4205
nation,Northern Ireland,N92000002,2022-01-30,2,4203
nation,Northern Ireland,N92000002,2022-01-29,5,4201
nation,Northern Ireland,N92000002,2022-01-28,4,4196
nation,Northern Ireland,N92000002,2022-01-27,11,4192
nation,Northern Ireland,N92000002,2022-01-26,1,4181
nation,Northern Ireland,N92000002,2022-01-25,6,4180
nation,Northern Ireland,N92000002,2022-01-24,5,4174
nation,Northern Ireland,N92000002,2022-01-23,7,4169
nation,Northern Ireland,N92000002,2022-01-22,6,4162
nation,Northern Ireland,N92000002,2022-01-21,5,4156
nation,Northern Ireland,N92000002,2022-01-20,7,4151
