areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Scotland,S92000003,2022-05-20,0,14750
nation,Scotland,S92000003,2022-05-19,3,14750
nation,Scotland,S92000003,2022-05-18,1,14747
nation,Scotland,S92000003,2022-05-17,6,14746
nation,Scotland,S92000003,2022-05-16,9,14740
nation,Scotland,S92000003,2022-05-15,5,14731
nation,Scotland,S92000003,2022-05-14,5,14726
nation,Scotland,S92000003,2022-05-13,1,14721
nation,Scotland,S92000003,2022-05-12,8,14720
nation,Scotland,S92000003,2022-05-11,15,14712
nation,Scotland,S92000003,2022-05-10,7,14697
nation,Scotland,S92000003,2022-05-09,5,14690
nation,Scotland,S92000003,2022-05-08,6,14685
nation,Scotland,S92000003,2022-05-07,9,14679
nation,Scotland,S92000003,2022-05-06,6,14670
nation,Scotland,S92000003,2022-05-05,6,14664
nation,Scotland,S92000003,2022-05-04,8,14658
nation,Scotland,S92000003,2022-05-03,18,14650
nation,Scotland,S92000003,2022-05-02,12,14632
nation,Scotland,S92000003,2022-05-01,8,14620
nation,Scotland,S92000003,2022-04-30,11,14612
nation,Scotland,S92000003,2022-04-29,16,14601
nation,Scotland,S92000003,2022-04-28,11,14585
nation,Scotland,S92000003,2022-04-27,8,14574
nation,Scotland,S92000003,2022-04-26,17,14566
nation,Scotland,S92000003,2022-04-25,10,14549
nation,Scotland,S92000003,2022-04-24,9,14539
nation,Scotland,S92000003,2022-04-23,15,14530
nation,Scotland,S92000003,2022-04-22,14,14515
nation,Scotland,S92000003,2022-04-21,14,14501
nation,Scotland,S92000003,2022-04-20,14,14487
nation,Scotland,S92000003,2022-04-19,14,14473
nation,Scotland,S92000003,2022-04-18,13,14459
nation,Scotland,S92000003,2022-04-17,11,14446
nation,Scotland,S92000003,2022-04-16,13,14435
nation,Scotland,S92000003,2022-04-15,16,14422
nation,Scotland,S92000003,2022-04-14,22,14406
nation,Scotland,S92000003,2022-04-13,22,14384
nation,Scotland,S92000003,2022-04-12,23,14362
nation,Scotland,S92000003,2022-04-11,15,14339
nation,Scotland,S92000003,2022-04-10,21,14324
nation,Scotland,S92000003,2022-04-09,12,14303
nation,Scotland,S92000003,2022-04-08,25,14291
nation,Scotland,S92000003,2022-04-07,23,14266
nation,Scotland,S92000003,2022-04-06,18,14243
nation,Scotland,S92000003,2022-04-05,26,14225
nation,Scotland,S92000003,2022-04-04,23,14199
