areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Wales,W92000004,2022-05-20,1,10314
nation,Wales,W92000004,2022-05-19,5,10313
nation,Wales,W92000004,2022-05-18,4,10308
nation,Wales,W92000004,2022-05-17,5,10304
nation,Wales,W92000004,2022-05-16,0,10299
nation,Wales,W92000004,2022-05-15,3,10299
nation,Wales,W92000004,2022-05-14,2,10296
nation,Wales,W92000004,2022-05-13,3,10294
nation,Wales,W92000004,2022-05-12,3,10291
nation,Wales,W92000004,2022-05-11,3,10288
nation,Wales,W92000004,2022-05-10,3,10285
nation,Wales,W92000004,2022-05-09,3,10282
nation,Wales,W92000004,2022-05-08,2,10279
nation,Wales,W92000004,2022-05-07,8,10277
nation,Wales,W92000004,2022-05-06,1,10269
nation,Wales,W92000004,2022-05-05,5,10268
nation,Wales,W92000004,2022-05-04,2,10263
nation,Wales,W92000004,2022-05-03,5,10261
nation,Wales,W92000004,2022-05-02,5,10256
nation,Wales,W92000004,2022-05-01,4,10251
nation,Wales,W92000004,2022-04-30,4,10247
nation,Wales,W92000004,2022-04-29,6,10243
nation,Wales,W92000004,2022-04-28,7,10237
nation,Wales,W92000004,2022-04-27,7,10230
nation,Wales,W92000004,2022-04-26,8,10223
nation,Wales,W92000004,2022-04-25,12,10215
nation,Wales,W92000004,2022-04-24,9,10203
nation,Wales,W92000004,2022-04-23,7,10194
nation,Wales,W92000004,2022-04-22,9,10187
nation,Wales,W92000004,2022-04-21,9,10178
nation,Wales,W92000004,2022-04-20,4,10169
nation,Wales,W92000004,2022-04-19,13,10165
nation,Wales,W92000004,2022-04-18,11,10152
nation,Wales,W92000004,2022-04-17,7,10141
nation,Wales,W92000004,2022-04-16,7,10134
nation,Wales,W92000004,2022-04-15,7,10127
nation,Wales,W92000004,2022-04-14,6,10120
nation,Wales,W92000004,2022-04-13,11,10114
nation,Wales,W92000004,2022-04-12,12,10103
nation,Wales,W92000004,2022-04-11,9,10091
nation,Wales,W92000004,2022-04-10,11,10082
nation,Wales,W92000004,2022-04-09,7,10071
nation,Wales,W92000004,2022-04-08,12,10064
nation,Wales,W92000004,2022-04-07,14,10052
nation,Wales,W92000004,2022-04-06,9,10038
nation,Wales,W92000004,2022-04-05,11,10029
nation,Wales,W92000004,2022-04-04,7,10018
nation,Wales,W92000004,2022-04-03,10,10011
nation,Wales,W92000004,2022-04-02,5,10001
nation,Wales,W92000004,2022-04-01,9,9996
nation,Wales,W92000004,2022-03-31,6,9987
nation,Wales,W92000004,2022-03-30,10,9981
nation,Wales,W92000004,2022-03-29,6,9971
nation,Wales,W92000004,2022-03-28,8,9965
nation,Wales,W92000004,2022-03-27,7,9957
nation,Wales,W92000004,2022-03-26,8,9950
nation,Wales,W92000004,2022-03-25,12,9942
nation,Wales,W92000004,2022-03-24,11,9930
nation,Wales,W92000004,2022-03-23,8,9919
nation,Wales,W92000004,2022-03-22,9,9911
nation,Wales,W92000004,2022-03-21,11,9902
nation,Wales,W92000004,2022-03-20,7,9891
nation,Wales,W92000004,2022-03-19,7,9884
nation,Wales,W92000004,2022-03-18,8,9877
nation,Wales,W92000004,2022-03-17,5,9869
nation,Wales,W92000004,2022-03-16,9,9864
nation,Wales,W92000004,2022-03-15,4,9855
nation,Wales,W92000004,2022-03-14,3,9851
nation,Wales,W92000004,2022-03-13,8,9848
nation,Wales,W92000004,2022-03-12,3,9840
nation,Wales,W92000004,2022-03-11,3,9837
nation,Wales,W92000004,2022-03-10,1,9834
nation,Wales,W92000004,2022-03-09,3,9833
nation,Wales,W92000004,2022-03-08,2,9830
nation,Wales,W92000004,2022-03-07,7,9828
nation,Wales,W92000004,2022-03-06,10,9821
nation,Wales,W92000004,2022-03-05,5,9811
nation,Wales,W92000004,2022-03-04,3,9806
nation,Wales,W92000004,2022-03-03,2,9803
nation,Wales,W92000004,2022-03-02,4,9801
nation,Wales,W92000004,2022-03-01,4,9797
nation,Wales,W92000004,2022-02-28,6,9793
nation,Wales,W92000004,2022-02-27,4,9787
nation,Wales,W92000004,2022-02-26,6,9783
nation,Wales,W92000004,2022-02-25,11,9777
nation,Wales,W92000004,2022-02-24,10,9766
nation,Wales,W92000004,2022-02-23,7,9756
nation,Wales,W92000004,2022-02-22,6,9749
nation,Wales,W92000004,2022-02-21,1,9743
nation,Wales,W92000004,2022-02-20,0,9742
nation,Wales,W92000004,2022-02-19,9,9742
nation,Wales,W92000004,2022-02-18,4,9733
nation,Wales,W92000004,2022-02-17,6,9729
nation,Wales,W92000004,2022-02-16,7,9723
nation,Wales,W92000004,2022-02-15,14,9716
nation,Wales,W92000004,2022-02-14,9,9702
nation,Wales,W92000004,2022-02-13,6,9693
nation,Wales,W92000004,2022-02-12,3,9687
nation,Wales,W92000004,2022-02-11,9,9684
nation,Wales,W92000004,2022-02-10,2,9675
nation,Wales,W92000004,2022-02-09,9,9673
nation,Wales,W92000004,2022-02-08,5,9664
nation,Wales,W92000004,2022-02-07,3,9659
nation,Wales,W92000004,2022-02-06,7,9656
nation,Wales,W92000004,2022-02-05,6,9649
nation,Wales,W92000004,2022-02-04,6,9643
nation,Wales,W92000004,2022-02-03,6,9637
nation,Wales,W92000004,2022-02-02,9,9631
nation,Wales,W92000004,2022-02-01,11,9622
nation,Wales,W92000004,2022-01-31,13,9611
nation,Wales,W92000004,2022-01-30,6,9598
nation,Wales,W92000004,2022-01-29,3,9592
nation,Wales,W92000004,2022-01-28,14,9589
nation,Wales,W92000004,2022-01-27,10,9575
nation,Wales,W92000004,2022-01-26,8,9565
nation,Wales,W92000004,2022-01-25,11,9557
nation,Wales,W92000004,2022-01-24,6,9546
nation,Wales,W92000004,2022-01-23,8,9540
nation,Wales,W92000004,2022-01-22,6,9532
nation,Wales,W92000004,2022-01-21,11,9526
nation,Wales,W92000004,2022-01-20,6,9515
nation,Wales,W92000004,2022-01-19,13,9509
nation,Wales,W92000004,2022-01-18,11,9496
nation,Wales,W92000004,2022-01-17,13,9485
nation,Wales,W92000004,2022-01-16,19,9472
nation,Wales,W92000004,2022-01-15,20,9453
nation,Wales,W92000004,2022-01-14,9,9433
nation,Wales,W92000004,2022-01-13,13,9424
nation,Wales,W92000004,2022-01-12,13,9411
nation,Wales,W92000004,2022-01-11,12,9398
nation,Wales,W92000004,2022-01-10,14,9386
nation,Wales,W92000004,2022-01-09,12,9372
nation,Wales,W92000004,2022-01-08,8,9360
nation,Wales,W92000004,2022-01-07,6,9352
nation,Wales,W92000004,2022-01-06,12,9346
nation,Wales,W92000004,2022-01-05,5,9334
nation,Wales,W92000004,2022-01-04,18,9329
nation,Wales,W92000004,2022-01-03,9,9311
nation,Wales,W92000004,2022-01-02,11,9302
nation,Wales,W92000004,2022-01-01,10,9291
nation,Wales,W92000004,2021-12-31,10,9281
nation,Wales,W92000004,2021-12-30,9,9271
nation,Wales,W92000004,2021-12-29,9,9262
nation,Wales,W92000004,2021-12-28,3,9253
nation,Wales,W92000004,2021-12-27,7,9250
nation,Wales,W92000004,2021-12-26,5,9243
nation,Wales,W92000004,2021-12-25,2,9238
nation,Wales,W92000004,2021-12-24,7,9236
nation,Wales,W92000004,2021-12-23,2,9229
nation,Wales,W92000004,2021-12-22,3,9227
nation,Wales,W92000004,2021-12-21,2,9224
nation,Wales,W92000004,2021-12-20,6,9222
nation,Wales,W92000004,2021-12-19,3,9216
nation,Wales,W92000004,2021-12-18,7,9213
nation,Wales,W92000004,2021-12-17,7,9206
nation,Wales,W92000004,2021-12-16,5,9199
nation,Wales,W92000004,2021-12-15,8,9194
nation,Wales,W92000004,2021-12-14,6,9186
nation,Wales,W92000004,2021-12-13,6,9180
nation,Wales,W92000004,2021-12-12,4,9174
nation,Wales,W92000004,2021-12-11,8,9170
nation,Wales,W92000004,2021-12-10,8,9162
nation,Wales,W92000004,2021-12-09,11,9154
nation,Wales,W92000004,2021-12-08,6,9143
nation,Wales,W92000004,2021-12-07,6,9137
nation,Wales,W92000004,2021-12-06,12,9131
nation,Wales,W92000004,2021-12-05,9,9119
nation,Wales,W92000004,2021-12-04,11,9110
nation,Wales,W92000004,2021-12-03,5,9099
nation,Wales,W92000004,2021-12-02,11,9094
nation,Wales,W92000004,2021-12-01,12,9083
nation,Wales,W92000004,2021-11-30,3,9071
nation,Wales,W92000004,2021-11-29,5,9068
nation,Wales,W92000004,2021-11-28,13,9063
nation,Wales,W92000004,2021-11-27,7,9050
nation,Wales,W92000004,2021-11-26,9,9043
nation,Wales,W92000004,2021-11-25,9,9034
