Country,date,proportion,cases,alpha_conv,wildtype_conv,phi
England,2020-02-03,0,0,,,
England,2020-02-04,0,0,0,0,
England,2020-02-05,0,0,0,0,
England,2020-02-06,0,0,0,0,
England,2020-02-07,0,0,0,0,
England,2020-02-08,0,0,0,0,
England,2020-02-09,0,0,0,0,
England,2020-02-10,0,0,0,0,
England,2020-02-11,0,0,0,0,
England,2020-02-12,0,0,0,0,
England,2020-02-13,0,0,0,0,
England,2020-02-14,0,0,0,0,
England,2020-02-15,0,0,0,0,
England,2020-02-16,0,0,0,0,
England,2020-02-17,0,0,0,0,
England,2020-02-18,0,0,0,0,
England,2020-02-19,0,0,0,0,
England,2020-02-20,0,0,0,0,
England,2020-02-21,0,0,0,0,
England,2020-02-22,0,0,0,0,
England,2020-02-23,0,0,0,0,
England,2020-02-24,0,0,0,0,
England,2020-02-25,0,1,0,0,
England,2020-02-26,0,1,0,1.01204053888551e-05,0
England,2020-02-27,0,3,0,0.000249940901786411,0
England,2020-02-28,0,3,0,0.00151356899260669,0
England,2020-02-29,0,5,0,0.00549512886571769,0
England,2020-03-01,0,9,0,0.0151761481116413,0
England,2020-03-02,0,13,0,0.0348064838740283,0
England,2020-03-03,0,17,0,0.0705778434081251,0
England,2020-03-04,0,23,0,0.131975693295755,0
England,2020-03-05,0,29,0,0.23265774236516,0
England,2020-03-06,0,34,0,0.390751257519224,0
England,2020-03-07,0,39,0,0.62900500566556,0
England,2020-03-08,0,44,0,0.974120611572659,0
England,2020-03-09,0,54,0,1.45495875102855,0
England,2020-03-10,0,71,0,2.10036343721533,0
England,2020-03-11,0,95,0,2.93823043281701,0
England,2020-03-12,0,122,0,3.99822813277616,0
England,2020-03-13,0,131,0,5.31854096933314,0
England,2020-03-14,0,176,0,6.95384098819441,0
England,2020-03-15,0,256,0,8.9771823491188,0
England,2020-03-16,0,324,0,11.4778525518703,0
England,2020-03-17,0,391,0,14.5749559279933,0
England,2020-03-18,0,487,0,18.4408961391565,0
England,2020-03-19,0,527,0,23.3112973860704,0
England,2020-03-20,0,627,0,29.4824803918755,0
England,2020-03-21,0,755,0,37.2971088367803,0
England,2020-03-22,0,827,0,47.115978474137,0
England,2020-03-23,0,1003,0,59.3105942665008,0
England,2020-03-24,0,1271,0,74.2634350638971,0
England,2020-03-25,0,1452,0,92.365690484666,0
England,2020-03-26,0,1670,0,114.059151720029,0
England,2020-03-27,0,1858,0,139.892447775568,0
England,2020-03-28,0,2023,0,170.526221955731,0
England,2020-03-29,0,2380,0,206.700731994934,0
England,2020-03-30,0,2634,0,249.174351245396,0
England,2020-03-31,0,2786,0,298.685498440281,0
England,2020-04-01,0,2897,0,355.971193271685,0
England,2020-04-02,0,3332,0,421.739260733931,0
England,2020-04-03,0,3485,0,496.570468364691,0
England,2020-04-04,0,3565,0,580.868932938609,0
England,2020-04-05,0,3731,0,674.909150551466,0
England,2020-04-06,0,3761,0,778.805022312507,0
England,2020-04-07,0,3860,0,892.432659432652,0
England,2020-04-08,0,3993,0,1015.38180027719,0
England,2020-04-09,0,3788,0,1146.92571937488,0
England,2020-04-10,0,3762,0,1286.0524778905,0
England,2020-04-11,0,3887,0,1431.48803408709,0
England,2020-04-12,0,3659,0,1581.65436064327,0
England,2020-04-13,0,3562,0,1734.72781023042,0
England,2020-04-14,0,3522,0,1888.75351449319,0
England,2020-04-15,0,3480,0,2041.67717950051,0
England,2020-04-16,0,3471,0,2191.40402183284,0
