"","Country","date","R","variant"
"1","England","2020-10-07",NA,"alpha"
"2","England","2020-10-08",NA,"alpha"
"3","England","2020-10-09",NA,"alpha"
"4","England","2020-10-10",NA,"alpha"
"5","England","2020-10-11",NA,"alpha"
"6","England","2020-10-12",NA,"alpha"
"7","England","2020-10-13",NA,"alpha"
"8","England","2020-10-14",NA,"alpha"
"9","England","2020-10-15",NA,"alpha"
"10","England","2020-10-16",NA,"alpha"
"11","England","2020-10-17",NA,"alpha"
"12","England","2020-10-18",NA,"alpha"
"13","England","2020-10-19",NA,"alpha"
"14","England","2020-10-20",NA,"alpha"
"15","England","2020-10-21",NA,"alpha"
"16","England","2020-10-22",NA,"alpha"
"17","England","2020-10-23",NA,"alpha"
"18","England","2020-10-24",NA,"alpha"
"19","England","2020-10-25",NA,"alpha"
"20","England","2020-10-26",NA,"alpha"
"21","England","2020-10-27",NA,"alpha"
"22","England","2020-10-28",NA,"alpha"
"23","England","2020-10-29",NA,"alpha"
"24","England","2020-10-30",NA,"alpha"
"25","England","2020-10-31",NA,"alpha"
"26","England","2020-11-01",NA,"alpha"
"27","England","2020-11-02",NA,"alpha"
"28","England","2020-11-03",NA,"alpha"
"29","England","2020-11-04",NA,"alpha"
"30","England","2020-11-05",NA,"alpha"
"31","England","2020-11-06",NA,"alpha"
"32","England","2020-11-07",NA,"alpha"
"33","England","2020-11-08",NA,"alpha"
"34","England","2020-11-09",NA,"alpha"
"35","England","2020-11-10",NA,"alpha"
"36","England","2020-11-11",NA,"alpha"
"37","England","2020-11-12",NA,"alpha"
"38","England","2020-11-13",NA,"alpha"
"39","England","2020-11-14",NA,"alpha"
"40","England","2020-11-15",NA,"alpha"
"41","England","2020-11-16",NA,"alpha"
"42","England","2020-11-17",NA,"alpha"
"43","England","2020-11-18",NA,"alpha"
"44","England","2020-11-19",NA,"alpha"
"45","England","2020-11-20",NA,"alpha"
"46","England","2020-11-21",NA,"alpha"
"47","England","2020-11-22",NA,"alpha"
"48","England","2020-11-23",NA,"alpha"
"49","England","2020-11-24",NA,"alpha"
"50","England","2020-11-25",NA,"alpha"
"51","England","2020-11-26",NA,"alpha"
"52","England","2020-11-27",NA,"alpha"
"53","England","2020-11-28",NA,"alpha"
"54","England","2020-11-29",NA,"alpha"
"55","England","2020-11-30",NA,"alpha"
"56","England","2020-12-01",NA,"alpha"
"57","England","2020-12-02",NA,"alpha"
"58","England","2020-12-03",NA,"alpha"
"59","England","2020-12-04",NA,"alpha"
"60","England","2020-12-05",NA,"alpha"
"61","England","2020-12-06",NA,"alpha"
"62","England","2020-12-07",NA,"alpha"
"63","England","2020-12-08",NA,"alpha"
"64","England","2020-12-09",NA,"alpha"
"65","England","2020-12-10",NA,"alpha"
"66","England","2020-12-11",NA,"alpha"
"67","England","2020-12-12",NA,"alpha"
"68","England","2020-12-13",NA,"alpha"
"69","England","2020-12-14",NA,"alpha"
"70","England","2020-12-15",NA,"alpha"
"71","England","2020-12-16",NA,"alpha"
"72","England","2020-12-17",NA,"alpha"
"73","England","2020-12-18",NA,"alpha"
"74","England","2020-12-19",NA,"alpha"
"75","England","2020-12-20",NA,"alpha"
"76","England","2020-12-21",NA,"alpha"
"77","England","2020-12-22",NA,"alpha"
"78","England","2020-12-23",NA,"alpha"
"79","England","2020-12-24",NA,"alpha"
"80","England","2020-12-25",NA,"alpha"
"81","England","2020-12-26",NA,"alpha"
"82","England","2020-12-27",NA,"alpha"
"83","England","2020-12-28",NA,"alpha"
"84","England","2020-12-29",NA,"alpha"
"85","England","2020-12-30",NA,"alpha"
"86","England","2020-12-31",NA,"alpha"
"87","England","2021-01-01",NA,"alpha"
"88","England","2021-01-02",NA,"alpha"
"89","England","2021-01-03",NA,"alpha"
"90","England","2021-01-04",NA,"alpha"
"91","England","2021-01-05",NA,"alpha"
"92","England","2021-01-06",NA,"alpha"
"93","England","2021-01-07",NA,"alpha"
"94","England","2021-01-08",NA,"alpha"
"95","England","2021-01-09",NA,"alpha"
"96","England","2021-01-10",NA,"alpha"
"97","England","2021-01-11",NA,"alpha"
"98","England","2021-01-12",NA,"alpha"
"99","England","2021-01-13",NA,"alpha"
"100","England","2021-01-14",NA,"alpha"
"101","England","2021-01-15",NA,"alpha"
"102","England","2021-01-16",NA,"alpha"
"103","England","2021-01-17",NA,"alpha"
"104","England","2021-01-18",NA,"alpha"
"105","England","2021-01-19",NA,"alpha"
"106","England","2021-01-20",NA,"alpha"
"107","England","2021-01-21",NA,"alpha"
"108","England","2021-01-22",NA,"alpha"
"109","England","2021-01-23",NA,"alpha"
"110","England","2021-01-24",NA,"alpha"
"111","England","2021-01-25",NA,"alpha"
"112","England","2021-01-26",NA,"alpha"
"113","England","2021-01-27",NA,"alpha"
"114","England","2021-01-28",NA,"alpha"
"115","England","2021-01-29",NA,"alpha"
"116","England","2021-01-30",NA,"alpha"
"117","England","2021-01-31",NA,"alpha"
"118","England","2021-02-01",NA,"alpha"
"119","England","2021-02-02",NA,"alpha"
"120","England","2021-02-03",NA,"alpha"
"121","England","2021-02-04",NA,"alpha"
"122","England","2021-02-05",NA,"alpha"
"123","England","2021-02-06",NA,"alpha"
"124","England","2021-02-07",NA,"alpha"
"125","England","2021-02-08",NA,"alpha"
"126","England","2021-02-09",NA,"alpha"
"127","England","2021-02-10",NA,"alpha"
"128","England","2021-02-11",NA,"alpha"
"129","England","2021-02-12",NA,"alpha"
"130","England","2021-02-13",NA,"alpha"
"131","England","2021-02-14",NA,"alpha"
"132","England","2021-02-15",NA,"alpha"
"133","England","2021-02-16",NA,"alpha"
"134","England","2021-02-17",NA,"alpha"
"135","England","2021-02-18",NA,"alpha"
"136","England","2021-02-19",NA,"alpha"
"137","England","2021-02-20",NA,"alpha"
"138","England","2021-02-21",NA,"alpha"
"139","England","2021-02-22",NA,"alpha"
"140","England","2021-02-23",NA,"alpha"
"141","England","2021-02-24",NA,"alpha"
"142","England","2021-02-25",NA,"alpha"
"143","England","2021-02-26",NA,"alpha"
"144","England","2021-02-27",NA,"alpha"
"145","England","2021-02-28",NA,"alpha"
"146","England","2021-03-01",NA,"alpha"
"147","England","2021-03-02",NA,"alpha"
"148","England","2021-03-03",NA,"alpha"
"149","England","2021-03-04",NA,"alpha"
"150","England","2021-03-05",NA,"alpha"
"151","England","2021-03-06",NA,"alpha"
"152","England","2021-03-07",NA,"alpha"
"153","England","2021-03-08",NA,"alpha"
"154","England","2021-03-09",NA,"alpha"
"155","England","2021-03-10",NA,"alpha"
"156","England","2021-03-11",NA,"alpha"
"157","England","2021-03-12",NA,"alpha"
"158","England","2021-03-13",NA,"alpha"
"159","England","2021-03-14",NA,"alpha"
"160","England","2021-03-15",NA,"alpha"
"161","England","2021-03-16",NA,"alpha"
"162","England","2021-03-17",NA,"alpha"
"163","England","2021-03-18",NA,"alpha"
"164","England","2021-03-19",NA,"alpha"
"165","England","2021-03-20",NA,"alpha"
"166","England","2021-03-21",NA,"alpha"
"167","England","2021-03-22",NA,"alpha"
"168","England","2021-03-23",NA,"alpha"
"169","England","2021-03-24",NA,"alpha"
"170","England","2021-03-25",NA,"alpha"
"171","England","2021-03-26",NA,"alpha"
"172","England","2021-03-27",NA,"alpha"
"173","England","2021-03-28",NA,"alpha"
"174","England","2021-03-29",NA,"alpha"
"175","England","2021-03-30",NA,"alpha"
"176","England","2021-03-31",NA,"alpha"
"177","England","2021-04-01",NA,"alpha"
