"","Country","date","R","variant"
"1","Scotland","2020-10-07",NA,"alpha"
"2","Scotland","2020-10-08",NA,"alpha"
"3","Scotland","2020-10-09",NA,"alpha"
"4","Scotland","2020-10-10",NA,"alpha"
"5","Scotland","2020-10-11",NA,"alpha"
"6","Scotland","2020-10-12",NA,"alpha"
"7","Scotland","2020-10-13",NA,"alpha"
"8","Scotland","2020-10-14",NA,"alpha"
"9","Scotland","2020-10-15",NA,"alpha"
"10","Scotland","2020-10-16",NA,"alpha"
"11","Scotland","2020-10-17",NA,"alpha"
"12","Scotland","2020-10-18",NA,"alpha"
"13","Scotland","2020-10-19",NA,"alpha"
"14","Scotland","2020-10-20",NA,"alpha"
"15","Scotland","2020-10-21",NA,"alpha"
"16","Scotland","2020-10-22",NA,"alpha"
"17","Scotland","2020-10-23",NA,"alpha"
"18","Scotland","2020-10-24",NA,"alpha"
"19","Scotland","2020-10-25",NA,"alpha"
"20","Scotland","2020-10-26",NA,"alpha"
"21","Scotland","2020-10-27",NA,"alpha"
"22","Scotland","2020-10-28",NA,"alpha"
"23","Scotland","2020-10-29",NA,"alpha"
"24","Scotland","2020-10-30",NA,"alpha"
"25","Scotland","2020-10-31",NA,"alpha"
"26","Scotland","2020-11-01",NA,"alpha"
"27","Scotland","2020-11-02",NA,"alpha"
"28","Scotland","2020-11-03",NA,"alpha"
"29","Scotland","2020-11-04",NA,"alpha"
"30","Scotland","2020-11-05",NA,"alpha"
"31","Scotland","2020-11-06",NA,"alpha"
"32","Scotland","2020-11-07",NA,"alpha"
"33","Scotland","2020-11-08",NA,"alpha"
"34","Scotland","2020-11-09",NA,"alpha"
"35","Scotland","2020-11-10",NA,"alpha"
"36","Scotland","2020-11-11",NA,"alpha"
"37","Scotland","2020-11-12",NA,"alpha"
"38","Scotland","2020-11-13",NA,"alpha"
"39","Scotland","2020-11-14",NA,"alpha"
"40","Scotland","2020-11-15",NA,"alpha"
"41","Scotland","2020-11-16",NA,"alpha"
"42","Scotland","2020-11-17",NA,"alpha"
"43","Scotland","2020-11-18",NA,"alpha"
"44","Scotland","2020-11-19",NA,"alpha"
"45","Scotland","2020-11-20",NA,"alpha"
"46","Scotland","2020-11-21",NA,"alpha"
"47","Scotland","2020-11-22",NA,"alpha"
"48","Scotland","2020-11-23",NA,"alpha"
"49","Scotland","2020-11-24",NA,"alpha"
