"","Country","date","R","variant"
"1","Wales","2020-10-07",NA,"alpha"
"2","Wales","2020-10-08",NA,"alpha"
"3","Wales","2020-10-09",NA,"alpha"
"4","Wales","2020-10-10",NA,"alpha"
"5","Wales","2020-10-11",NA,"alpha"
"6","Wales","2020-10-12",NA,"alpha"
"7","Wales","2020-10-13",NA,"alpha"
"8","Wales","2020-10-14",NA,"alpha"
"9","Wales","2020-10-15",NA,"alpha"
"10","Wales","2020-10-16",NA,"alpha"
"11","Wales","2020-10-17",NA,"alpha"
"12","Wales","2020-10-18",NA,"alpha"
"13","Wales","2020-10-19",NA,"alpha"
"14","Wales","2020-10-20",NA,"alpha"
"15","Wales","2020-10-21",NA,"alpha"
"16","Wales","2020-10-22",NA,"alpha"
"17","Wales","2020-10-23",NA,"alpha"
"18","Wales","2020-10-24",NA,"alpha"
"19","Wales","2020-10-25",NA,"alpha"
"20","Wales","2020-10-26",NA,"alpha"
"21","Wales","2020-10-27",NA,"alpha"
"22","Wales","2020-10-28",NA,"alpha"
"23","Wales","2020-10-29",NA,"alpha"
"24","Wales","2020-10-30",NA,"alpha"
"25","Wales","2020-10-31",NA,"alpha"
"26","Wales","2020-11-01",NA,"alpha"
"27","Wales","2020-11-02",NA,"alpha"
"28","Wales","2020-11-03",NA,"alpha"
"29","Wales","2020-11-04",NA,"alpha"
"30","Wales","2020-11-05",NA,"alpha"
"31","Wales","2020-11-06",NA,"alpha"
"32","Wales","2020-11-07",NA,"alpha"
"33","Wales","2020-11-08",NA,"alpha"
"34","Wales","2020-11-09",NA,"alpha"
"35","Wales","2020-11-10",NA,"alpha"
"36","Wales","2020-11-11",NA,"alpha"
"37","Wales","2020-11-12",NA,"alpha"
"38","Wales","2020-11-13",NA,"alpha"
"39","Wales","2020-11-14",NA,"alpha"
"40","Wales","2020-11-15",NA,"alpha"
"41","Wales","2020-11-16",NA,"alpha"
"42","Wales","2020-11-17",NA,"alpha"
"43","Wales","2020-11-18",3.18569145487957,"alpha"
"44","Wales","2020-11-19",2.7235529264133,"alpha"
"45","Wales","2020-11-20",2.30600166884449,"alpha"
"46","Wales","2020-11-21",2.29478518149172,"alpha"
"47","Wales","2020-11-22",2.28588484051749,"alpha"
"48","Wales","2020-11-23",2.18537497212486,"alpha"
"49","Wales","2020-11-24",2.01761052430269,"alpha"
"50","Wales","2020-11-25",1.81771850284126,"alpha"
"51","Wales","2020-11-26",1.79616616198648,"alpha"
"52","Wales","2020-11-27",1.69924602576624,"alpha"
"53","Wales","2020-11-28",1.61705048946205,"alpha"
"54","Wales","2020-11-29",1.54832200932333,"alpha"
"55","Wales","2020-11-30",1.46048003603709,"alpha"
"56","Wales","2020-12-01",1.3883863100722,"alpha"
"57","Wales","2020-12-02",1.38662986801837,"alpha"
"58","Wales","2020-12-03",1.36430722049769,"alpha"
"59","Wales","2020-12-04",1.34534777651577,"alpha"
"60","Wales","2020-12-05",1.23343554724162,"alpha"
"61","Wales","2020-12-06",1.15629404572406,"alpha"
"62","Wales","2020-12-07",1.1590520427589,"alpha"
"63","Wales","2020-12-08",1.14938400056116,"alpha"
"64","Wales","2020-12-09",1.10266337449541,"alpha"
"65","Wales","2020-12-10",1.06040821921298,"alpha"
"66","Wales","2020-12-11",1.00397751330068,"alpha"
"67","Wales","2020-12-12",1.05402580184739,"alpha"
"68","Wales","2020-12-13",1.04956139441844,"alpha"
"69","Wales","2020-12-14",1.04505473385994,"alpha"
"70","Wales","2020-12-15",1.13819080015299,"alpha"
"71","Wales","2020-12-16",1.24808010250217,"alpha"
"72","Wales","2020-12-17",1.28802443509071,"alpha"
"73","Wales","2020-12-18",1.44239108891022,"alpha"
"74","Wales","2020-12-19",1.42666887514574,"alpha"
"75","Wales","2020-12-20",1.4267615297573,"alpha"
"76","Wales","2020-12-21",1.39962958212534,"alpha"
"77","Wales","2020-12-22",1.32373366111428,"alpha"
"78","Wales","2020-12-23",1.26959683967674,"alpha"
"79","Wales","2020-12-24",1.2390428643506,"alpha"
"80","Wales","2020-12-25",1.12303633513815,"alpha"
"81","Wales","2020-12-26",1.09856868539199,"alpha"
"82","Wales","2020-12-27",1.08504647283176,"alpha"
"83","Wales","2020-12-28",1.11608726048715,"alpha"
"84","Wales","2020-12-29",1.11264244875446,"alpha"
"85","Wales","2020-12-30",1.09647165076822,"alpha"
"86","Wales","2020-12-31",1.09217088479356,"alpha"
"87","Wales","2021-01-01",1.12394389915851,"alpha"
"88","Wales","2021-01-02",1.08569278753338,"alpha"
"89","Wales","2021-01-03",1.09266946403548,"alpha"
"90","Wales","2021-01-04",1.04445715990065,"alpha"
"91","Wales","2021-01-05",1.04316636446689,"alpha"
"92","Wales","2021-01-06",1.06727155307771,"alpha"
"93","Wales","2021-01-07",1.05992025843586,"alpha"
"94","Wales","2021-01-08",1.08442903371038,"alpha"
"95","Wales","2021-01-09",1.12931306496164,"alpha"
"96","Wales","2021-01-10",1.17057497118815,"alpha"
"97","Wales","2021-01-11",1.29949614689625,"alpha"
"98","Wales","2021-01-12",1.34245730350327,"alpha"
"99","Wales","2021-01-13",1.37706628067972,"alpha"
"100","Wales","2021-01-14",1.44297002891033,"alpha"
"101","Wales","2021-01-15",1.44594007622409,"alpha"
"102","Wales","2021-01-16",1.49607213065571,"alpha"
"103","Wales","2021-01-17",1.41787005583854,"alpha"
"104","Wales","2021-01-18",1.34766254116002,"alpha"
"105","Wales","2021-01-19",1.30722588204732,"alpha"
"106","Wales","2021-01-20",1.2621343740155,"alpha"
"107","Wales","2021-01-21",1.21282750551924,"alpha"
"108","Wales","2021-01-22",1.18480562273332,"alpha"
"109","Wales","2021-01-23",1.15792709341382,"alpha"
"110","Wales","2021-01-24",1.21898969159828,"alpha"
"111","Wales","2021-01-25",1.15335903439108,"alpha"
"112","Wales","2021-01-26",1.16123793112217,"alpha"
"113","Wales","2021-01-27",1.11099115830401,"alpha"
"114","Wales","2021-01-28",1.08070900517001,"alpha"
"115","Wales","2021-01-29",1.11799438597118,"alpha"
"116","Wales","2021-01-30",1.06528479619712,"alpha"
"117","Wales","2021-01-31",0.958792120404211,"alpha"
"118","Wales","2021-02-01",0.968972790600726,"alpha"
"119","Wales","2021-02-02",0.937589069727488,"alpha"
"120","Wales","2021-02-03",0.97590583885887,"alpha"
"121","Wales","2021-02-04",0.962213610906213,"alpha"
"122","Wales","2021-02-05",0.881975594685473,"alpha"
