"","Country","date","R","variant"
"1","Scotland","2020-03-19",NA,"joint"
"2","Scotland","2020-03-20",NA,"joint"
"3","Scotland","2020-03-21",NA,"joint"
"4","Scotland","2020-03-22",NA,"joint"
"5","Scotland","2020-03-23",NA,"joint"
"6","Scotland","2020-03-24",NA,"joint"
"7","Scotland","2020-03-25",NA,"joint"
"8","Scotland","2020-03-26",5.71959738424805,"joint"
"9","Scotland","2020-03-27",4.72210410737954,"joint"
"10","Scotland","2020-03-28",4.29547189933668,"joint"
"11","Scotland","2020-03-29",3.64242027140976,"joint"
"12","Scotland","2020-03-30",3.53438623877092,"joint"
"13","Scotland","2020-03-31",3.36693771424599,"joint"
"14","Scotland","2020-04-01",3.11605843768018,"joint"
"15","Scotland","2020-04-02",2.79892944312389,"joint"
"16","Scotland","2020-04-03",2.62807662875737,"joint"
"17","Scotland","2020-04-04",2.27660856443274,"joint"
"18","Scotland","2020-04-05",2.19787864379957,"joint"
"19","Scotland","2020-04-06",2.051127351386,"joint"
"20","Scotland","2020-04-07",1.88367813531098,"joint"
"21","Scotland","2020-04-08",1.74415030736894,"joint"
"22","Scotland","2020-04-09",1.6917091547873,"joint"
"23","Scotland","2020-04-10",1.59028479037649,"joint"
"24","Scotland","2020-04-11",1.54207506250377,"joint"
"25","Scotland","2020-04-12",1.3975476639437,"joint"
"26","Scotland","2020-04-13",1.27918981270304,"joint"
"27","Scotland","2020-04-14",1.23312485358367,"joint"
"28","Scotland","2020-04-15",1.18020525981531,"joint"
"29","Scotland","2020-04-16",1.12447891966019,"joint"
"30","Scotland","2020-04-17",1.06774067139448,"joint"
"31","Scotland","2020-04-18",1.04599148448511,"joint"
"32","Scotland","2020-04-19",1.05501457608155,"joint"
"33","Scotland","2020-04-20",1.08306093787395,"joint"
"34","Scotland","2020-04-21",1.06672567113432,"joint"
"35","Scotland","2020-04-22",1.04617267741728,"joint"
"36","Scotland","2020-04-23",0.99027610959366,"joint"
"37","Scotland","2020-04-24",0.970541384357692,"joint"
"38","Scotland","2020-04-25",0.943430349206517,"joint"
"39","Scotland","2020-04-26",0.926820975381197,"joint"
"40","Scotland","2020-04-27",0.901297880794517,"joint"
"41","Scotland","2020-04-28",0.851595810519232,"joint"
"42","Scotland","2020-04-29",0.833057171489027,"joint"
"43","Scotland","2020-04-30",0.842942593697777,"joint"
"44","Scotland","2020-05-01",0.848074474321045,"joint"
"45","Scotland","2020-05-02",0.83693058904977,"joint"
"46","Scotland","2020-05-03",0.826648349621168,"joint"
"47","Scotland","2020-05-04",0.806981837078015,"joint"
"48","Scotland","2020-05-05",0.844608314849328,"joint"
"49","Scotland","2020-05-06",0.850531364214905,"joint"
"50","Scotland","2020-05-07",0.860612608049964,"joint"
"51","Scotland","2020-05-08",0.864911047768221,"joint"
"52","Scotland","2020-05-09",0.86534869201685,"joint"
"53","Scotland","2020-05-10",0.838882901443669,"joint"
"54","Scotland","2020-05-11",0.821470756046249,"joint"
"55","Scotland","2020-05-12",0.771058032188711,"joint"
"56","Scotland","2020-05-13",0.779399887054364,"joint"
